Star Name,Star Mass [Ms],Star Temperature [K],Star Radius [Rs],Star Distance [pc],Star log(g),Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star T Mag,Star Metallicity,Star RA,Star Dec,Planet Name,Planet Radius [Re],Planet Radius [Rj],Planet Mass [Me],Planet Mass [Mj],Planet Period [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,FGS1_Flag,FGS2_Flag,FGS_Flag,Tier 1 Transits,Tier 1 Eclipses,Tier 2 Transits,Tier 2 Eclipses,Tier 3 Transits,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,Max Tier
1047.01,0.8997200000000001,5622.0,0.926801,134.926,4.50409,9.145,9.526,9.036,11.095,8.803,8.822,8.89,10.2355,0,144.581535,-67.505097,1047.01,5.72162,0.5104496240418508,27.9275053172341,0.0878697584538122,0.62627,2146.415403364993,2068886462.3670757,0.3,2.3,2397.6,0.5,1,0,0,0,1.0,1.0,11.0,10.0,23.0,19.0,Eclipse,1.0,10.0,19.0,2
1053.01,0.88802,5577.0,3.48732,263.729,4.5,7.859,8.169,7.763,9.62,7.621,7.707,7.721,8.8849,0,290.977117,-33.351416,1053.01,13.088532,1.1676826211212443,113.75155004035132,0.3579024016736747,5.742625,1977.610326610168,9024178586.124315,0.3,2.3,10297.0548,0.5,1,0,0,0,3.0,1.0,21.0,6.0,42.0,12.0,Eclipse,1.0,6.0,12.0,2
1060.01,0.916854,5687.9,1.13906,128.491,4.3293,8.789,9.102,8.735,10.342,8.671,8.683,8.615,9.6652,0,299.290995,-48.934476,1060.01,2.8451407,0.2538268883045655,8.564958732102596,0.0269483738847341,2.068559,1611.4643599263209,4617481141.769939,0.3,2.3,3593.63088,0.5,1,0,0,0,9.0,57.0,113.0,477.0,226.0,946.0,Transit,9.0,113.0,226.0,1
1061.01,1.00025,5801.0,1.08183,133.171,4.38679,8.768,9.125,8.703,10.366,8.66,8.679,8.644,9.7345,0,284.688908,-41.242483,1061.01,2.28501,0.2038552884378671,5.95360656961386,0.0187321411367941,0.540933,2468.6029496973106,1943830080.844303,0.3,2.3,6027.6132,0.5,1,0,0,0,4.0,15.0,49.0,125.0,98.0,249.0,Transit,4.0,49.0,98.0,1
1058.01,1.0115,5846.0,3.44756,338.831,3.38835,8.398,8.706,8.312,10.09,8.235,8.273,8.221,9.3781,0,288.911772,-31.790813,1058.01,12.9783824,1.1578557151211324,111.91557799607126,0.352125787607137,11.1296402,1617.68822735704,14649939782.431171,0.3,2.3,25584.56676,0.5,1,0,0,0,4.0,2.0,21.0,11.0,40.0,21.0,Eclipse,2.0,11.0,21.0,2
1059.01,0.7884,5188.0,0.943786,98.8783,4.4328,8.687,9.073,8.568,10.535,8.524424209448778,8.432886698939356,8.301979790680736,9.7825,0,269.714503,-60.922727,1059.01,17.0216,1.5185680490124769,497.3696393934273,1.5648998927516276,9.4496506,826.8787542099457,12088873502.352318,0.3,2.3,7275.599999999999,0.5,1,0,0,0,1.0,1.0,7.0,2.0,14.0,4.0,Eclipse,1.0,2.0,4.0,2
1063.01,0.80274,5249.0,0.791742,61.1201,4.59514,7.997,8.352,7.858,9.8,7.818,7.881,7.816,9.0689,0,230.555493,-83.056214,1063.01,2.09966,0.1873194405807643,5.091023751455867,0.0160181520777292,10.0665634,748.0207403206136,12685441421.98165,0.3,2.3,7131.6,0.5,1,0,0,0,8.0,954.0,73.0,5255.0,144.0,9796.0,Transit,8.0,73.0,144.0,1
1064.02,0.7174666666666667,4656.0,0.737189,68.0726,4.57214,8.628,9.097,8.467,10.938,8.41,8.477,8.406,10.0059,0,296.003935,-47.56203,1064.02,2.5664499,0.2289637177193252,7.218798134111843,0.022712878975975,12.2264881,651.0621293192236,13910033949.998655,0.1,2.3,7808.088960000001,0.5,1,0,0,0,6.0,1017.0,63.0,6233.0,125.0,11066.0,Transit,6.0,63.0,125.0,1
1064.01,0.7174666666666667,4656.0,0.737189,68.0726,4.57214,8.628,9.097,8.467,10.938,8.41,8.477,8.406,10.0059,0,296.003935,-47.56203,1064.01,2.4800254,0.2212534270091758,6.832939785682779,0.0214988328415741,6.4438568,756.9286315742332,9075926233.467236,0.3,2.3,6852.26556,0.5,1,0,0,0,5.0,385.0,58.0,2341.0,116.0,4604.0,Transit,5.0,58.0,116.0,1
1077.01,0.7605333333333334,4979.0,0.984326,463.683,4.3656,12.112,12.571,11.977,14.349,11.908,11.967,11.742,13.461,0,173.810798,-88.096213,1077.01,12.6311763,1.1268800083789794,106.54249251823109,0.3352201700904106,1.6062566,1471.8211544171024,3665296920.777575,0.3,2.3,7113.3192,0.5,1,1,0,1,1.0,2.0,20.0,13.0,41.0,27.0,Eclipse,2.0,13.0,27.0,2
