TIC ID,Star Name,Star Temperature [K],Star Temperature Error Upper [K],Star Temperature Error Lower [K],Star Radius [Rs],Star Radius Error Upper [Rs],Star Radius Error Lower [Rs],Star Mass [Ms],Star Mass Error Upper [Ms],Star Mass Error Lower [Ms],Star log(g),Star log(g) Error Upper,Star log(g) Error Lower,Star Distance [pc],Star Distance Error Upper [pc],Star Distance Error Lower [pc],Star Metallicity [Fe/H],Star Metallicity Error Upper [Fe/H],Star Metallicity Error Lower [Fe/H],Star TESS Mag,Star V Mag,Star T Mag,Star J Mag,Star H Mag,Star Ks Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star RA,Star Dec,TFOPWG Disposition,Comments,TFOP Master,TFOP SG1b,TFOP SG2,TFOP SG3,TFOP SG4,TFOP SG5,Imaging Observations,Spectroscopy Observations,Time Series Observations,TESS SNR,Planet Number,Planet Name,Rp/Rs,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rjup],Planet Radius Error Upper [Rjup],Planet Radius Error Lower [Rjup],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mjup],Planet Mass Error Upper [Mjup],Planet Mass Error Lower [Mjup],Mass Flag,Expected Radial Velocity Amplitude [m/s],Expected Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude Error Lower [m/s],Planet Period [days],Planet Period Error Upper [days],Planet Period Error Lower [days],Planet Semi-major Axis [au],Planet Semi-major Axis [m],a/Rs,Eccentricity,Inclination,Periastron,Impact Parameter,Planet Insolation Flux [W/m2],Planet Insolation Flux [Earth],Planet Temperature [K],Transit Mid Time,Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],Transit Duration [hr],Transit Duration Error Upper [hr],Transit Duration Error Lower [days],Transit Duration T14 [s],Eclipse Duration E14 [s],Eclipse Mid Time,Available Transits,Available Eclipses,Planet Albedo,Heat Redistribution Factor,Mean Molecular Weight,In PLATO FOV,Assumed Parameters,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Max Tier
92562123,TOI-2242,6037.16,102.6,102.6,2.58365,0.11,0.11,1.12,0.145306,0.145306,3.66282,0.07,0.07,349.478,4.5135,4.5135,-0.494098,0.0768221,0.0768221,9.9279,10.249,9.9279,9.45,9.244,9.159,9.117,9.156,9.125,315.171774,-35.871099,PC,weak signal; weak BLS; possible variability; period may be double,3.0,3.0,3.0,3.0,4.0,4.0,1.0,14.0,0.0,9.0,1.0,TOI-2242b,0.0264575131106459,7.456128427385337,0.521014,0.521014,0.6651923672957313,0.0464818356375538,0.0464818356375538,46.58,78.98,-29.29,0.1465570698952761,0.2484988703376751,-0.0921566461406749,True,14.8,25.0,9.3,6.53144,0.00545,0.00545,0.071017345080299,10624043606.77986,5.910635265076876,0.0,90,0.0,0.0,2154796.165978621,1583.042322459047,1755.9033514526384,2459041.75877,0.01251,0.01251,0.07,0.000229402,0.000229402,5.713,0.994,0.994,20566.8,20566.8,2459045.02449,57.0,56.0,0.2,0.8,2.3,False,,7.0,57.0,112.0,8.0,52.0,104.0,Eclipse,8.0,52.0,104.0,green,green,green,1
1989628303,TOI-2244,5286.9,747.5,747.5,1.95,0.47,0.47,1.994696818757358,,,,,,174.318,1.1905,1.1905,,,,9.1984,9.6383,9.1984,,,999.0,,,,308.563502,-48.274841,PC,two stars in the TESS pixel; this star and 1989628301 have phantom 100504381,3.0,4.0,3.0,3.0,4.0,4.0,2.0,0.0,4.0,40.0,1.0,TOI-2244b,0.0633245607959502,13.4690658729399,3.12636,3.12636,1.2016316377244722,0.2789156369383987,0.2789156369383987,400.02,597.6700000000001,-239.57,1.2586036732397672,1.8804801194570568,-0.7537715164193066,True,91.7,136.89999999999998,54.8,5.46377,0.00043,0.00043,0.0764379074004275,11434948187.867723,8.42902974526135,0.0,90,0.0,0.0,622967.2859018678,457.6690801016982,1287.6484366497882,2459039.62778,0.00088,0.00088,0.401,0.0004358189999999,0.0004358189999999,1.036,0.124,0.124,3729.6,3729.6,2459042.3596650003,73.0,75.0,0.2,0.8,2.3,False,"Star Mass, ",16.0,196.0,392.0,2.0,13.0,26.0,Eclipse,2.0,13.0,26.0,green,green,green,2
278415929,TOI-2245,5918.0,59.3,59.3,1.51258,0.07,0.07,1.08,0.127643,0.127643,4.11205,0.54,0.54,264.842,1.681,1.681,,,,10.8366,11.654,10.8366,10.005,9.648,9.511,9.417,9.43,9.403,117.281011,-80.893886,PC,possible depth aperture and centroid offset in qlp possibly due to variable star in background,3.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,0.0,22.0,1.0,TOI-2245b,0.0273861278752583,4.518347871794741,0.23043,0.23043,0.4031006904422038,0.0205576229927824,0.0205576229927824,21.57,22.64,-11.04,0.0678668097389675,0.071233406235059,-0.0347357245951878,True,8.4,8.799999999999999,4.299999999999999,3.7981107,1.83e-05,1.83e-05,0.0488797973345287,7312313601.493036,6.948874234475667,0.0,90,0.0,0.0,1439456.3068803772,1057.510817542843,1587.4598034382666,2459389.180943,0.0029025,0.0029025,0.075,4.28236e-05,4.28236e-05,3.914,0.209,0.209,14090.4,14090.4,2459391.0799983502,328.0,328.0,0.2,0.8,2.3,False,,7.0,87.0,172.0,23.0,168.0,342.0,Transit,7.0,87.0,172.0,green,green,green,1
229715760,TOI-2251,5776.0,135.0,135.0,1.4578,0.072897,0.072897,1.04,0.121408,0.121408,4.1277,0.07,0.07,711.751,7.3315,7.3315,,,,12.7778,13.365,12.7778,12.136,11.821,11.756,11.703,11.733,11.669,278.989527,70.160757,PC,possible centroid offset towards TIC 229715770,3.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,111.67042,1.0,TOI-2251b,0.1195204258685602,19.0051261678959,0.91899747,0.91899747,1.6955267052461371,0.0819876036956162,0.0819876036956162,314.17,273.16,-146.03000000000003,0.988489365586065,0.8594574755816581,-0.4594617629198621,True,86.5,75.30000000000001,40.2,11.574356091506,1.8488217e-05,1.8488217e-05,0.1014864378319684,15182155004.590408,14.969712922440117,0.0,90,0.0,0.0,281441.58960188035,206.7638483278919,1055.6147520798756,2459945.371277,0.0019627223,0.0019627223,1.4285132199802,0.01295199,0.01295199,6.0493763483129,0.061795667,0.061795667,21777.75485392644,21777.75485392644,2459951.1584550454,107.0,107.0,0.2,0.8,2.3,False,,3.0,42.0,83.0,4.0,28.0,58.0,Eclipse,4.0,28.0,58.0,orange,yellow,yellow,1
219501568,TOI-2259,6690.0,127.351,127.351,1.7449,0.0762815,0.0762815,1.417,0.240532,0.240532,4.1059,0.0926789,0.0926789,122.859,0.4335,0.4335,,,,7.97758,8.38,7.97758,7.564,7.401,7.36,7.34,7.358,7.36,244.5642,42.62706,PC,centroid offset consistent with bright host,3.0,4.0,3.0,4.0,4.0,4.0,8.0,2.0,1.0,15.79513,1.0,TOI-2259b,0.0253463399380243,4.824101946928118,0.34447637,0.34447637,0.430378288867317,0.0307321761245593,0.0307321761245593,23.57,26.69,-12.52,0.0741595134699797,0.0839761312903589,-0.0393923253561369,True,4.7,5.3,2.5,16.589926276361,5.576465e-05,5.576465e-05,0.142986335150392,21390451277.69521,17.620872186841765,0.0,90,0.0,0.0,365648.4386237329,268.6272430875401,1126.9312429829818,2458961.789439,0.0017282105,0.0017282105,0.064243694825389,0.0044966892,0.0044966892,2.1573674888578,0.12561315,0.12561315,7766.52295988808,7766.52295988808,2458970.0844021384,56.0,53.0,0.2,0.8,2.3,False,,9.0,68.0,132.0,78.0,405.0,747.0,Transit,9.0,68.0,132.0,green,green,green,1
459837008,TOI-2267,3022.0,157.0,157.0,0.242745,0.00799628,0.00799628,0.21305,0.0204176,0.0204176,4.99625,0.013126,0.013126,19.82699092689264,,,,,,12.2591,15.56,12.2591,10.353,9.765,9.459,9.268,9.073,8.858,65.061496,84.900824,PC,potential multi,2.0,4.0,2.0,3.0,4.0,4.0,4.0,0.0,10.0,7.8030243,2.0,TOI-2267c,0.0337949615557141,0.894814327281644,0.33940813,0.33940813,0.0798301245011337,0.0302800172600151,0.0302800172600151,0.87,0.4700000000000001,-0.3,0.0027373261229903,0.0014787853767878,-0.0009439055596518,True,1.2,0.7,0.5,2.0344366336269,1.1877154e-05,1.1877154e-05,0.0187669104660773,2807489845.3427205,16.624396847707597,0.0,90,0.0,0.0,17034.188134875625,12.514334846141262,524.0907726305455,2458817.092481,0.0010907704,0.0010907704,0.11420994265522,0.018106494,0.018106494,0.95824797234751,0.3105621,0.3105621,3449.692700451036,3449.692700451036,2458818.109699317,469.0,470.0,0.2,0.8,2.3,False,"Star Distance, ",3.0,41.0,81.0,3791.0,29493.0,50657.0,Transit,3.0,41.0,81.0,orange,green,green,1
321688498,TOI-2290,3863.0,157.0,157.0,0.566304,0.0169066,0.0169066,0.559686,0.0203382,0.0203382,4.67991,0.0101502,0.0101502,58.0924,0.0729,0.0729,,,,11.1079,12.635,11.1079,9.902,9.264,9.072,8.959,8.953,8.848,321.599582,68.640531,PC,low SNR,1.0,4.0,1.0,4.0,4.0,4.0,6.0,4.0,8.0,10.763916,1.0,TOI-2290b,0.0209198021052308,1.292224230923224,2.0433514,2.0433514,0.1152847223081102,0.1822959151281262,0.1822959151281262,2.72,1.0699999999999998,-0.7700000000000002,0.0085580770741767,0.0033665964960915,-0.0024226909364397,True,3.5,1.4000000000000004,1.0,0.38621972166531,9.100896e-06,9.100896e-06,0.0085534425086093,1279576786.442831,3.247840702220669,0.0,90,0.0,0.0,1194370.3313774357,877.4559808079204,1515.696857717299,2458764.986586,0.00088310306,0.00088310306,0.0437638120122019,0.0054123973999999,0.0054123973999999,0.91224447992031,0.32260457,0.32260457,3284.080127713116,3284.080127713116,2458765.1796958605,3227.0,3228.0,0.2,0.8,2.3,False,,10.0,144.0,293.0,58.0,512.0,1005.0,Transit,10.0,144.0,293.0,green,green,green,1
280031353,TOI-2300,5607.0,158.447,158.447,0.796892,0.0411759,0.0411759,0.992,0.12144,0.12144,4.63178,0.076559,0.076559,221.705,1.0125,1.0125,,,,11.8231,12.518,11.8231,11.07,10.683,10.611,10.564,10.612,10.535,297.416187,68.883354,PC,TOI 2300.02; potential multi,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,10.0,46.882263,2.0,TOI-2300c,0.0682057149804464,5.928583105386099,0.32556143,0.32556143,0.5289136673258976,0.0290446953041319,0.0290446953041319,31.11,43.93000000000001,-18.27,0.0978830065358961,0.1382192374516848,-0.0574838485827972,True,8.0,11.4,4.699999999999999,15.443266136073,2.4722145e-05,2.4722145e-05,0.1210443933935075,18107983511.84188,32.66243963202006,0.0,90,0.0,0.0,52493.27005690675,38.564700205235134,693.7312339542551,2459646.961969,0.0025227405,0.0025227405,0.46520195559939,0.008802826,0.008802826,3.8493075057502,0.086768724,0.086768724,13857.50702070072,13857.50702070072,2459654.683602068,80.0,80.0,0.2,0.8,2.3,False,,3.0,40.0,81.0,198.0,1550.0,2854.0,Transit,3.0,40.0,81.0,green,green,green,1
147284470,TOI-2306,5675.0,5576.3,5576.3,1.10305,,,1.01,,,4.3572,,,694.32,10.798,10.798,,,,13.3456,13.953,13.3456,12.642,12.32,12.181,12.057,12.075,12.197,324.800775,-44.375271,PC,2 stars in pixel,3.0,4.0,3.0,3.0,4.0,4.0,2.0,0.0,3.0,25.62094,1.0,TOI-2306b,0.1052800746631479,12.66695018088362,0.4768243,0.4768243,1.1300715457490882,0.0425394878843786,0.0425394878843786,418.14,666.61,-257.02,1.315615569042739,2.0973896170650503,-0.8086753564723889,True,184.4,293.9,113.29999999999998,2.9905744685542,5.4543902e-06,5.4543902e-06,0.04077473520574,6099813565.135031,7.948759537814281,0.0,90,0.0,0.0,930154.252587053,683.3470244234584,1423.3155314713856,2459064.314222,0.0009511647,0.0009511647,1.1083894121078,0.0534926759999999,0.0534926759999999,2.0941681477432,0.09867246,0.09867246,7539.005331875521,7539.005331875521,2459065.8095092345,137.0,134.0,0.2,0.8,2.3,False,,58.0,865.0,1724.0,9.0,64.0,128.0,Eclipse,9.0,64.0,128.0,orange,orange,orange,1
234489976,TOI-2308,6365.0,6567.6,6567.6,1.33378,0.0649246,0.0649246,1.27,0.195792,0.195792,4.29171,,,613.155,14.5875,14.5875,,,,12.2397,12.731,12.2397,11.747,11.522,11.51,11.46,11.505,11.604,8.980505,-64.722442,PC,Slight odd-even; Gaia DR2 RV error ~4.3 km/s; also observed in S01,3.0,4.0,3.0,3.0,4.0,4.0,3.0,0.0,3.0,55.02876,1.0,TOI-2308b,0.0897667931985291,13.059621524101985,0.7829673,0.7829673,1.1651033967839042,0.0698517839216975,0.0698517839216975,408.52,633.3700000000001,-248.26,1.2853476640965695,1.9928048810556265,-0.7811133141305551,True,141.9,220.0,86.19999999999999,3.8686599907026,3.654944e-06,3.654944e-06,0.0522455282404802,7815819778.372563,8.42302970632109,0.0,90,0.0,0.0,1311111.1958158344,963.220811878384,1550.7766169754188,2459063.02134,0.00060181104,0.00060181104,0.80580771611475,0.029409613,0.029409613,2.3101442780858,0.05374258,0.05374258,8316.519401108879,8316.519401108879,2459064.9556699954,209.0,209.0,0.2,0.8,2.3,False,,29.0,425.0,845.0,4.0,31.0,62.0,Eclipse,4.0,31.0,62.0,orange,green,green,1
