Star Name,Star Mass [Ms],Star Temperature [K],Star Radius [Rs],Star Distance [pc],Star K Mag,Star V Mag,Star Metallicity,Star Age [Gyr],Star RA,Star Dec,Planet Name,Planet Period [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Radius [Re],Planet Albedo,Planet Mass [Me],Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Eccentricity,Transit Mid Time,Transit Mid Time Flag,"Known (Y=1,N=0)",Tier 1 Transits,Tier 1 Eclipses,Tier 2 Transits,Tier 2 Eclipses,Tier 3 Transits,Tier 3 Eclipses,Best Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS Flag,Tier,Number Observations,Time [s]
WASP-167,1.554,7021.5,1.7730000000000001,381.0,9.76,10.5,0.03,1.29,196.043872,-35.54952212,WASP-167 b,2.02195935,2421.22353,5422879215.0,16.95377413,0.3,2542.531815,2.3,8068.035029000001,0.77,1,79.9,0.0,2456592.464,0,1,-99.0,1.0,-99.0,1.0,-99.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,20170.0875725
Kepler-444,0.7586666670000001,5088.0,0.7513333329999999,35.7,6.702999999999999,8.94,-0.54,11.23,289.75322789999996,41.63466362,Kepler-444 c,4.546922733,982.4240815999999,7329258347.0,0.48282593,0.3,0.014309448999999998,2.3,8091.2267010000005,0.42,1,88.8,0.215,2454964.522,0,1,1.0,-99.0,1.0,-99.0,2.0,-99.0,Transit,1.0,1.0,2.0,0.0,2.0,1.0,20228.066752500003
379234262,0.8251700000000001,4987.0,2.43601,291.7194825,9.019,11.380999999999998,,,282.8054216,-59.04735705,379234262 b,1.620756777,2411.379927,3789288636.0,15.40243867,0.3,311.22591739999996,2.3,16797.2072,0.5382045999999999,1,76.075582,0.039095667,2458485.5330000003,1,0,2.0,1.0,17.0,1.0,34.0,1.0,Eclipse,1.0,1.0,1.0,0.0,2.0,1.0,41993.018000000004
WASP-103,1.22,6110.0,1.4380000000000002,470.0,10.767000000000001,12.05,0.06,4.0,249.3157674,7.183342669,WASP-103 b,0.925542,2563.3735460000003,2971314878.0,16.76722775,0.3,473.5465506,2.3,8411.788208,0.19,1,86.3,0.0,2456459.6,0,1,2.0,1.0,31.0,1.0,-99.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,21029.47052
WASP-135,0.98,5676.666667,0.96,300.0,11.037,13.29,0.02,1.8666666669999998,267.2841537,29.87913685,WASP-135 b,1.4013794,1757.6106730000001,3642032563.0,14.26531157,0.3,603.8513061000001,2.3,4239.360878,0.8,1,82.0,0.0,2455230.99,0,1,6.0,1.0,-99.0,2.0,-99.0,4.0,Eclipse,1.0,2.0,4.0,0.0,2.0,2.0,21196.80439
154297053,1.60562,7181.0,1.7800099999999999,317.4304745,9.494,11.08,,,342.266151,43.70368616,154297053 b,4.132125752,1944.529055,8828655881.0,21.73512964,0.3,1039.251375,2.3,8525.772187,0.84484226,1,83.19623355,0.065815464,2458486.034,1,0,2.0,1.0,32.0,1.0,-99.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,21314.430467500002
470971145,0.698539,4378.0,0.834572,40.96999201,7.632999999999999,10.380999999999998,-0.16,,110.61205890000002,49.49754656,470971145 b,7.924508518,750.5881448,10326260820.0,8.194706458999999,0.3,51.37220595,2.3,8623.660934,0.7102643059999999,1,87.71186884,0.020608795,2458491.619,1,0,1.0,2.0,2.0,8.0,2.0,17.0,Transit,1.0,2.0,2.0,0.0,2.0,2.0,43118.30467
141750338,1.20155,6225.0,1.0407899999999999,281.8864172,10.458,11.687000000000001,,,117.0815342,80.59295833,141750338 b,2.9335301910000005,1516.4112910000001,6378799780.0,17.895584500000002,0.3,597.8455616,2.3,8822.997343000001,0.267038828,1,88.26343994,0.011377705,2458485.894,1,0,1.0,1.0,17.0,1.0,33.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,22057.493357500003
382463166,1.08466,5951.0,1.04053,45.615857399999996,6.5520000000000005,7.95,,,353.0191126,-43.58996072,382463166 b,3.7821013089999997,1354.691867,7302719618.0,6.615718436,0.3,35.71684724,2.3,8991.758909999999,0.48893651299999996,1,87.22273517,0.057954305,2458487.663,1,0,1.0,1.0,1.0,2.0,2.0,4.0,Transit,1.0,1.0,2.0,0.0,2.0,1.0,22479.397274999996
258814849,0.944140997,5422.0,1.496556,311.20599999999996,10.922,13.014000000000001,,,222.6052738,-71.67261356,258814849 b,1.448040736,2086.2011989999996,3676467954.0,16.01329177,0.3,381.45145180000003,2.3,9076.043615,0.593295616,1,80.33010456,0.20638989800000002,2458485.859,1,0,2.0,1.0,20.0,1.0,39.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,22690.109037500002
