Star Name,Star Mass [Ms],Star Temperature [K],Star Radius [Rs],Star Distance [pc],Star log(g),Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star T Mag,Star Metallicity,Star RA,Star Dec,Planet Name,Planet Radius [Re],Planet Radius [Rj],Planet Mass [Me],Planet Mass [Mj],Planet Period [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,FGS1_Flag,FGS2_Flag,FGS_Flag,Tier 1 Transits,Tier 1 Eclipses,Tier 2 Transits,Tier 2 Eclipses,Tier 3 Transits,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,Max Tier
1053.01,0.88802,5577,3.48732,263.729,4.5,7.859,8.169,7.763,9.62,7.621,7.707,7.721,8.8849,0,290.977117,-33.351416,1053.01,13.088532,1.167682621,113.75155,0.357902402,5.742625,1977.610327,9024178586,0.3,2.3,10297.0548,0.5,1,0,0,0,3,1,21,6,42,12,Eclipse,1,6,12,2
1061.01,1.00025,5801,1.08183,133.171,4.38679,8.768,9.125,8.703,10.366,8.66,8.679,8.644,9.7345,0,284.688908,-41.242483,1061.01,2.28501,0.203855288,5.95360657,0.018732141,0.540933,2468.60295,1943830081,0.3,2.3,6027.6132,0.5,1,0,0,0,4,15,49,125,98,249,Transit,4,49,98,1
1059.01,0.7884,5188,0.943786,98.8783,4.4328,8.687,9.073,8.568,10.535,8.524424209,8.432886699,8.301979791,9.7825,0,269.714503,-60.922727,1059.01,17.0216,1.518568049,497.3696394,1.564899893,9.4496506,826.8787542,12088873502,0.3,2.3,7275.6,0.5,1,0,0,0,1,1,7,2,14,4,Eclipse,1,2,4,2
1060.01,0.916854,5687.9,1.13906,128.491,4.3293,8.789,9.102,8.735,10.342,8.671,8.683,8.615,9.6652,0,299.290995,-48.934476,1060.01,2.8451407,0.253826888,8.564958732,0.026948374,2.068559,1611.46436,4617481142,0.3,2.3,3593.63088,0.5,1,0,0,0,9,57,113,477,226,946,Transit,9,113,226,1
1058.01,1.0115,5846,3.44756,338.831,3.38835,8.398,8.706,8.312,10.09,8.235,8.273,8.221,9.3781,0,288.911772,-31.790813,1058.01,12.9783824,1.157855715,111.915578,0.352125788,11.1296402,1617.688227,14649939782,0.3,2.3,25584.56676,0.5,1,0,0,0,4,2,21,11,40,21,Eclipse,2,11,21,2
1063.01,0.80274,5249,0.791742,61.1201,4.59514,7.997,8.352,7.858,9.8,7.818,7.881,7.816,9.0689,0,230.555493,-83.056214,1063.01,2.09966,0.187319441,5.091023751,0.016018152,10.0665634,748.0207403,12685441422,0.3,2.3,7131.6,0.5,1,0,0,0,8,954,73,5255,144,9796,Transit,8,73,144,1
1064.02,0.717466667,4656,0.737189,68.0726,4.57214,8.628,9.097,8.467,10.938,8.41,8.477,8.406,10.0059,0,296.003935,-47.56203,1064.02,2.5664499,0.228963718,7.218798134,0.022712879,12.2264881,651.0621293,13910033950,0.1,2.3,7808.08896,0.5,1,0,0,0,6,1017,63,6233,125,11066,Transit,6,63,125,1
1064.01,0.717466667,4656,0.737189,68.0726,4.57214,8.628,9.097,8.467,10.938,8.41,8.477,8.406,10.0059,0,296.003935,-47.56203,1064.01,2.4800254,0.221253427,6.832939786,0.021498833,6.4438568,756.9286316,9075926233,0.3,2.3,6852.26556,0.5,1,0,0,0,5,385,58,2341,116,4604,Transit,5,58,116,1
1077.01,0.760533333,4979,0.984326,463.683,4.3656,12.112,12.571,11.977,14.349,11.908,11.967,11.742,13.461,0,173.810798,-88.096213,1077.01,12.6311763,1.126880008,106.5424925,0.33522017,1.6062566,1471.821154,3665296921,0.3,2.3,7113.3192,0.5,1,1,0,1,1,2,20,13,41,27,Eclipse,2,13,27,2
1074.01,0.772,5065,0.741671,107.356,4.62706,9.373,9.808,9.285,11.217,9.235,9.287,9.327,10.6339,0,310.761004,-72.010267,1074.01,2.8501548,0.254274217,8.592559807,0.027035217,13.9427597,671.7178232,15558392466,0.1,2.3,13583.70396,0.5,1,0,0,0,5,821,58,5096,117,9848,Transit,5,58,117,1
1075.01,0.61694,3921,0.580337,61.4592,4.66791,9.292,9.935,9.115,12.615,9.02,9.006,8.898,11.1186,0,309.971209,-65.449699,1075.01,1.8764454,0.167405534,4.179933937,0.013151543,0.6047427,1276.265588,1782328945,0.3,2.3,3557.5956,0.5,1,0,0,0,4,31,56,273,113,540,Transit,4,56,113,1
1081.01,1.066875,6027,1.23975,354.05,4.5,10.632,10.915,10.556,12.093,10.495,10.536,10.477,11.5247,0,282.140409,-40.11177,1081.01,11.467011,1.023019958,89.97209353,0.283083864,2.98278,1537.483178,6198859436,0.3,2.3,11194.3008,0.5,1,0,0,0,1,1,9,8,18,16,Eclipse,1,8,16,2
1082.01,0.6413,4095,0.649613,100.248,4.61894,10.106,10.715,9.941,13.217,9.842,9.875,9.711,11.8835,0,83.275809,-80.815478,1082.01,2.9277172,0.261193883,9.016249443,0.028368293,16.3470117,497.1405244,16261943820,0.1,2.3,11858.78628,0.5,1,0,0,0,8,6307,108,48359,220,81955,Transit,8,108,220,1
1080.01,0.3708,3227,0.199988,25.559,5.06391,10.467,11.044,10.17,15.349,10.015,9.834,9.584,12.7067,0,276.368325,-52.214573,1080.01,2.034434,0.181500357,4.816111314,0.015153181,3.965347,381.8605713,5269391918,0.1,2.3,3554.8344,0.5,1,1,0,1,1,6251,17,46273,34,113379,Transit,1,17,34,2
1083.01,0.5004,3551,0.491323,68.9109,4.74501,10.065,10.702,9.889,14.158,9.756,9.657,9.557,12.0936,0,296.822194,-87.32281,1083.01,3.2077972,0.28618099,10.41476008,0.0327685,12.9802713,421.9629473,12837725175,0.1,2.3,10183.3956,0.5,1,1,0,1,4,6411,51,41170,102,97162,Transit,4,51,102,1
1085.01,1.11375,6102,1.27589,444.066,4.5,10.891,11.139,10.862,12.197,10.821,10.841,10.835,11.6577,0,77.605399,-59.535664,1085.01,14.9476,1.333537844,258.9362774,0.81470464,3.2541181,1523.016297,6664147079,0.3,2.3,15627.6,0.5,1,0,0,0,1,1,19,4,39,8,Eclipse,1,4,8,2
1088.01,1.108125,6093,1.40011,240.901,4.20265,9.493,9.781,9.448,11.105,9.397,9.427,9.403,10.4613,0,272.311383,-76.300955,1088.01,5.48364,0.489218434,26.0440096,0.081943618,1.15395,2252.613008,3333092549,0.3,2.3,8049.6,0.5,1,0,0,0,2,3,23,24,46,48,Transit,2,23,46,1
