Star Name,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star W4 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Name,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Transit Temperature [K],Eclipse Temperature [K],Planet Semi-major Axis [AU],Planet Semi-major Axis [m],Planet-Star Separation Transit [m],Planet-Star Separation Eclipse [m],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Flag,Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,FGS1_Flag,FGS2_Flag,FGS_Flag,Tier 1 Transits,Tier 1 Eclipses,Tier 2 Transits,Tier 2 Eclipses,Tier 3 Transits,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,Max Tier
WASP-185,1.12,-0.06,0.06,5900.0,-100.0,100.0,1.5,-0.08,0.08,279.35,-3.358,3.439,4.13,-0.05,0.05,Gaia DR2 6284007337003799552,9.601,9.873,9.505,11.101,10.8949,9.473,9.514,9.468,9.0,0,-0.02,-0.06,0.06,[Fe/H],6.6,-1.6,1.6,G0 V,214.0595791,-19.5423062,WASP-185 b,14.011225913673352,0.8967184584750945,-0.8967184584750945,1.25,0.08,-0.08,311.4718384627813,19.069704395680485,-19.069704395680485,0.98,0.06,-0.06,0,1,88.0,9.38755,-2e-05,2e-05,1120.382474386459,1057.5364037399108,1243.507098245372,0.090510223397552,13531278397.934036,15191500223.69643,10987396047.168703,0.3,2.3,14422.455985013528,0.81,1,86.8,-0.3,0.3,0.24,-0.04,0.04,0,-42.0,-7.0,7.0,6935.981999999844,0.002,-0.002,0,6940.675774999843,14422.455985013528,1,0.73,0.05,-0.05,1,2019,0,0,0,5.0,1.0,49.0,7.0,98.0,13.0,Eclipse,1.0,7.0,13.0,2
WASP-184,1.23,-0.07,0.07,6000.0,-100.0,100.0,1.65,-0.09,0.09,663.231,-16.152,16.965,4.09,-0.05,0.05,Gaia DR2 6173435259395017344,11.319,11.59,11.262,12.771,12.5673,11.224,11.212,11.311,8.62,0,0.12,-0.08,0.08,[Fe/H],4.7,-1.1,1.1,G0 V,209.51701,-30.348153,WASP-184 b,14.907944372148446,1.0088082657844812,-1.0088082657844812,1.33,0.09,-0.09,181.1621917589646,31.78284065946748,-31.78284065946748,0.57,0.1,-0.1,0,1,58.0,5.1817,-1e-05,1e-05,1434.192253793646,1434.192253793646,1434.192253793646,0.0628357304383157,9393941700.52821,9393941700.52821,9393941700.52821,0.3,2.3,17297.05992278898,0.44,1,86.9,-1.1,1.1,0.0,,,0,,,,7630.007999999914,0.001,-0.001,0,7632.598849999914,17297.05992278898,1,0.69,0.03,-0.03,1,2019,0,0,0,3.0,3.0,40.0,19.0,79.0,37.0,Eclipse,3.0,19.0,37.0,2
WASP-183,0.78,-0.04,0.04,5313.0,-72.0,72.0,0.87,-0.04,0.04,325.377,-3.885,3.979,4.45,-0.04,0.04,Gaia DR2 3803004978659671040,11.268,11.639,11.207,13.081,12.8148,11.168,11.212,11.222,8.701,0,-0.31,-0.04,0.04,[Fe/H],14.9,-1.7,1.7,G9,163.7888521,-0.7370663,WASP-183 b,16.47720167447986,10.53644188708236,-3.698963641209765,1.47,0.94,-0.33,159.54986011052674,14.937935109949716,-14.937935109949716,0.502,0.047,-0.047,0,1,74.8,4.1117771,-5.1e-06,5.1e-06,1074.6397755122748,1074.6397755122748,1074.6397755122748,0.0462709088924829,6917500879.426206,6917500879.426206,6917500879.426206,0.3,2.3,7288.563881285419,0.916,1,85.37,-0.88,0.61,0.0,,,0,,,,7796.184499999974,0.0024,-0.0024,0,7798.240388549974,7288.563881285419,1,2.26,0.6,-0.36,1,2019,0,0,0,1.0,2.0,6.0,9.0,11.0,16.0,Transit,1.0,6.0,11.0,2
WASP-186,1.22,-0.08,0.07,6361.0,-82.0,105.0,1.47,-0.02,0.02,278.514,-3.307,3.387,4.19,-0.03,0.03,Gaia DR2 2790691147020786816,9.613,9.781,9.532,10.81,10.6509,9.525,9.562,9.5,8.686,0,-0.08,-0.14,0.14,[Fe/H],3.1,-0.08,1.0,F,18.9953122,21.6169065,WASP-186 b,12.441968611341936,0.3362694219281604,-0.3362694219281604,1.11,0.03,-0.03,1341.2358758295277,57.20911318704147,-57.20911318704147,4.22,0.18,-0.18,0,1,530.29,5.026799,-1.4e-05,1.2e-05,1451.7193811387,1568.7052103522594,1506.8358454863585,0.0614098086381935,9180766391.409931,7864687703.629854,8523780830.522371,0.3,2.3,9483.655911179158,0.84,1,84.6324279769994,,,0.33,-0.01,0.01,0,173.0,-3.0,3.0,6237.11950000003,0.0009,-0.0009,0,6239.632899500029,10278.425222360176,1,0.61,0.03,-0.03,1,2020,0,0,0,87.0,1.0,1113.0,6.0,2204.0,12.0,Eclipse,1.0,6.0,12.0,2
WASP-189,2.03,-0.07,0.07,8000.0,-80.0,80.0,2.36,-0.03,0.03,99.731,-0.7432,0.754,3.9,-0.2,0.2,Gaia DR2 6339097679918871168,6.12,6.166,6.06,6.59776,6.55369,6.097,6.029,6.118,5.961,0,0.29,-0.13,0.13,[Fe/H],0.73,-0.13,0.13,,225.686732,-3.0314874,WASP-189 b,18.147339803389723,0.2353885953497123,-0.2353885953497123,1.619,0.021,-0.021,632.4785291234028,50.85254505514797,-44.49597692325448,1.99,0.16,-0.14,0,1,182.0,2.724033,,,2606.643375083701,2606.643375083701,2606.643375083701,0.0483686214143894,7231108901.451217,7231108901.451217,7231108901.451217,0.3,2.3,16515.388490874437,0.478,1,84.03,-0.14,0.14,0.0,,,0,,,,8926.541695999913,6.5e-05,-6.4e-05,0,8927.903712499912,16515.388490874437,1,,,,1,2020,0,0,0,1.0,1.0,3.0,1.0,4.0,1.0,Eclipse,1.0,1.0,1.0,3
WASP-190,1.35,-0.05,0.05,6400.0,-100.0,100.0,1.6,-0.1,0.1,542.251,-9.773,10.131,4.17,-0.04,0.04,Gaia DR2 4994237247949280000,10.694,10.859,10.65,11.645,11.6333,10.593,10.62,10.615,8.269,0,-0.02,-0.05,0.05,[Fe/H],,,,F6 IV-V,7.7095292,-40.5734613,WASP-190 b,12.890327840579484,1.0088082657844812,-1.0088082657844812,1.15,0.09,-0.09,317.8284065946748,31.78284065946748,-31.78284065946748,1.0,0.1,-0.1,0,1,99.0,5.367753,-4e-06,4e-06,1465.9165675298534,1465.9165675298534,1465.9165675298534,0.066358474292542,9920591906.735031,9920591906.735031,9920591906.735031,0.3,2.3,16203.39981389317,0.45,1,87.1,-0.7,0.7,0.0,,,0,,,,7799.125599999912,0.0007,-0.0007,0,7801.809476499912,16203.39981389317,1,0.62,0.02,-0.02,1,2019,0,0,0,12.0,3.0,165.0,19.0,327.0,38.0,Eclipse,3.0,19.0,38.0,2
WASP-19,0.97,-0.1,0.09,5616.0,-65.0,66.0,1.01,-0.03,0.03,268.325,-1.698,1.72,4.42,-0.02,0.02,Gaia DR2 5411736896952029568,10.602,10.911,10.481,12.248,12.1088,10.436,10.494,10.311,9.144,0,0.04,-0.3,0.25,[Fe/H],6.4,-3.5,4.1,G8 V,148.4167672,-45.6591078,WASP-19 b,15.860707734278233,0.4931951521613019,-0.5380310750850567,1.415,0.044,-0.048,366.7739812102547,24.79061571438464,-25.426272527573985,1.154,0.078,-0.08,0,1,255.4,0.78883852,-8.2e-07,7.5e-07,2046.376551760253,2056.818339070629,2036.7755429077663,0.0165515792698793,2474461100.84697,2450077005.5311785,2498533998.039924,0.3,2.3,5845.534817817741,0.6671,1,79.08,-0.37,0.34,0.0126,-0.0089,0.014,0,51.0,-190.0,89.0,6402.712799999863,0.0017,-0.0014,0,6403.107219259863,5961.146301145378,1,2.077,0.014,-0.014,1,2009,0,0,0,1.0,1.0,10.0,1.0,20.0,1.0,Eclipse,1.0,1.0,1.0,3
WASP-187,1.54,-0.09,0.09,6150.0,-85.0,92.0,2.83,-0.05,0.05,371.414,-6.07,6.271,3.72,-0.03,0.03,Gaia DR2 306410392895767680,8.906,9.117,8.79,10.295,10.1318,8.771,8.791,8.733,9.071,0,0.0,-0.11,0.11,[Fe/H],2.55,-0.25,0.49,F,17.47474,25.6816494,WASP-187 b,18.38272839873944,0.560449036546934,-0.560449036546934,1.64,0.05,-0.05,254.26272527573985,28.604556593520734,-28.604556593520734,0.8,0.09,-0.09,0,1,70.0,5.147878,-9e-06,5e-06,1858.494250175808,1858.494250175808,1858.494250175808,0.06742938387818,10080692889.78791,10080692889.78791,10080692889.78791,0.3,2.3,20716.3914875996,0.76,1,81.46622246350722,,,0.0,,,0,0.0,,,5197.352899999823,0.002,-0.0022,0,5199.926838999823,20716.3914875996,1,0.35,0.02,-0.02,1,2020,0,0,0,2.0,1.0,9.0,2.0,18.0,3.0,Eclipse,1.0,2.0,3.0,3
WASP-2,0.9,-0.07,0.08,5180.0,-190.0,190.0,0.87,-0.03,0.03,153.242,-1.605,1.64,4.51,-0.02,0.02,Gaia DR2 1748596020745038208,9.752,10.166,9.632,11.728,11.5638,9.582,9.637,9.546,8.727,0,0.12,-0.19,0.21,[Fe/H],8.2,-3.7,6.8,K1,307.7255587,6.4293305,WASP-2 b,12.116908170144717,0.4595682099684859,-0.4483592292375472,1.081,0.041,-0.04,295.89824653964223,19.069704395680485,-18.43404758249114,0.931,0.06,-0.058,0,1,157.0,2.152175,-1.1e-05,1.2e-05,1269.440054575671,1266.205832079887,1273.0524834011933,0.0315202276275029,4712274030.31169,4737685058.419764,4686862249.43586,0.3,2.3,6486.35790523721,0.749,1,84.49,-0.18,0.17,0.0054,-0.0044,0.009,0,267.0,-86.0,11.0,8339.003419999965,0.00028,-0.00027,0,8340.079507499964,6416.776469419041,1,1.646,0.025,-0.025,1,2007,0,0,0,2.0,1.0,19.0,3.0,38.0,4.0,Eclipse,1.0,3.0,4.0,2
WASP-20,1.2,-0.04,0.04,5940.0,-100.0,100.0,1.39,-0.04,0.04,211.877,,,4.23,-0.02,0.02,Gaia DR2 2359978293136820864,9.417,9.701,9.39,10.675,10.6503,9.328,9.364,9.324,8.336,0,-0.008,-0.06,0.06,[Fe/H],7.0,-1.0,2.0,F9,5.1605621,-23.9357894,WASP-20 b,16.387529828632353,0.6613298631253822,-0.6613298631253822,1.462,0.059,-0.059,98.84463445094386,6.038739725298821,-5.720911318704146,0.311,0.019,-0.018,0,1,32.9,4.8996284,-3.3e-06,3.3e-06,1333.2093376056985,1333.2093376056985,1333.2093376056985,0.0600379651932553,8975675796.39167,8975675796.39167,8975675796.39167,0.3,2.3,12306.837108388992,0.718,1,85.56,-0.22,0.22,0.0,,,0,,,,5715.65561999986,0.00029,-0.00029,0,5718.10543419986,12306.837108388992,1,1.164,0.023,-0.023,1,2015,0,0,0,1.0,1.0,1.0,2.0,2.0,3.0,Transit,1.0,1.0,2.0,3
WASP-192,1.09,-0.06,0.06,5910.0,-145.0,145.0,1.32,-0.07,0.07,508.885,-15.641,16.646,4.24,-0.05,0.05,Gaia DR2 6198312362812872320,11.193,11.493,11.137,12.678,12.5347,11.094,11.12,11.101,9.069,0,0.14,-0.08,0.08,[Fe/H],5.7,-1.9,1.9,G0 V,223.6587187,-38.7445469,WASP-192 b,13.787046299054577,0.8967184584750945,-0.8967184584750945,1.23,0.08,-0.08,731.005335167752,50.85254505514797,-50.85254505514797,2.3,0.16,-0.16,0,1,307.0,2.8786765,-2.8e-06,2.8e-06,1568.296475356656,1568.296475356656,1568.296475356656,0.0407875414471593,6097737446.350315,6097737446.350315,6097737446.350315,0.3,2.3,8473.960295147623,0.84,1,82.7,-0.6,0.6,0.0,,,0,,,,7271.333099999931,0.0017,-0.0017,0,7272.772438249931,8473.960295147623,1,0.926,0.061,-0.061,1,2019,0,0,0,46.0,2.0,666.0,13.0,1324.0,26.0,Eclipse,2.0,13.0,26.0,2
WASP-21,1.01,-0.03,0.03,5800.0,-100.0,100.0,1.06,-0.04,0.04,258.426,-2.845,2.907,4.28,-0.03,0.03,Gaia DR2 2831084391023184128,10.085,10.35,9.982,11.59,11.3987,9.933,9.963,9.902,8.392,0,-0.22,-0.04,0.04,[M/H],12.0,-5.0,2.0,G3 V,347.4928024,18.3961597,WASP-21 b,11.993609382104388,0.6725388438563209,-0.6725388438563209,1.07,0.06,-0.06,92.17023791245568,3.178284065946748,-3.178284065946748,0.29,0.01,-0.01,0,1,0.0,4.322482,-2.4e-05,1.9e-05,1219.8470768638142,1219.8470768638142,1219.8470768638142,0.0521418025486354,7795199481.020992,7795199481.020992,7795199481.020992,0.3,2.3,12164.175529799331,0.23,1,88.75,-0.7,0.84,0.0,,,0,,,,4743.041900000069,0.0019,-0.0022,0,4745.203141000069,12164.175529799331,1,1.082,0.037,-0.035,1,2010,0,0,0,1.0,1.0,5.0,8.0,9.0,15.0,Transit,1.0,5.0,9.0,2
WASP-23,0.78,,0.13,5150.0,,100.0,0.77,,0.05,207.49,-1.022,1.031,4.56,,,Gaia DR2 5557345496687437696,10.514,10.96,10.45,12.539,12.3208,10.414,10.472,10.386,9.084,0,-0.05,-0.13,0.13,[Fe/H],6.2,-2.5,5.6,,101.1275033,-42.7622296,WASP-23 b,10.78303946316301,0.526822094354118,-0.6277029209325661,0.962,0.047,-0.056,279.37116939671915,30.193698626494108,-31.78284065946748,0.879,0.095,-0.1,0,1,147.4,2.9444256,-1.3e-06,1.1e-06,1095.3654877017536,1095.3654877017536,1095.3654877017536,0.0370358268253298,5536856110.386818,5536856110.386818,5536856110.386818,0.3,2.3,8561.768211255509,0.2904801575694438,1,88.39,-0.45,0.79,0.0,,,1,,,,5320.123629999813,0.00012,-0.00013,0,5321.595842799813,8561.768211255509,1,1.691,0.01,-0.011,1,2010,0,0,0,4.0,2.0,52.0,9.0,105.0,18.0,Eclipse,2.0,9.0,18.0,2
