TIC ID,Star Name,Star Temperature [K],Star Temperature Error Upper [K],Star Temperature Error Lower [K],Star Radius [Rs],Star Radius Error Upper [Rs],Star Radius Error Lower [Rs],Star Mass [Ms],Star Mass Error Upper [Ms],Star Mass Error Lower [Ms],Star log(g),Star log(g) Error Upper,Star log(g) Error Lower,Star Distance [pc],Star Distance Error Upper [pc],Star Distance Error Lower [pc],Star Metallicity [Fe/H],Star Metallicity Error Upper [Fe/H],Star Metallicity Error Lower [Fe/H],Star TESS Mag,Star V Mag,Star T Mag,Star J Mag,Star H Mag,Star Ks Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star RA,Star Dec,TFOPWG Disposition,Comments,TFOP Master,TFOP SG1b,TFOP SG2,TFOP SG3,TFOP SG4,TFOP SG5,Imaging Observations,Spectroscopy Observations,Time Series Observations,TESS SNR,Planet Number,Planet Name,Rp/Rs,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rjup],Planet Radius Error Upper [Rjup],Planet Radius Error Lower [Rjup],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mjup],Planet Mass Error Upper [Mjup],Planet Mass Error Lower [Mjup],Mass Flag,Expected Radial Velocity Amplitude [m/s],Expected Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude Error Lower [m/s],Planet Period [days],Planet Period Error Upper [days],Planet Period Error Lower [days],Planet Semi-major Axis [au],Planet Semi-major Axis [m],a/Rs,Eccentricity,Inclination,Periastron,Impact Parameter,Planet Insolation Flux [W/m2],Planet Insolation Flux [Earth],Planet Temperature [K],Transit Mid Time,Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],Transit Duration [hr],Transit Duration Error Upper [hr],Transit Duration Error Lower [days],Transit Duration T14 [s],Eclipse Duration E14 [s],Eclipse Mid Time,Available Transits,Available Eclipses,Planet Albedo,Heat Redistribution Factor,Mean Molecular Weight,Assumed Parameters,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Max Tier
21132157,TOI-5365,6080.29,136.6,136.6,2.75558,0.17,0.17,1.14,0.158325,0.158325,3.61455,0.09,0.09,651.291,18.1495,18.1495,0.04,0.016,0.016,11.0418,11.673,11.0418,10.359,10.126,10.014,9.888,9.929,9.892,36.519788,26.091793,PC,found in faint-star QLP search,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,0.0,17.0,1.0,TOI-5365b,0.0279284800875378,8.394425991869966,0.585378,0.585378,0.7489018130524511,0.0522240169781234,0.0522240169781234,81.49,145.99,-52.31,0.2563962135200956,0.4593359088452418,-0.1645856660846263,True,30.1,53.8,19.3,4.0069668,4.43e-05,4.43e-05,0.0515795527962231,7716191269.973219,4.02501920695269,0.0,90,0.0,0.0,4780910.386982837,3512.343117169339,2143.0155240578947,2459886.032439,0.0028515458,0.0028515458,0.078,0.000141469,0.000141469,5.848,0.934,0.934,21052.8,21052.8,2459888.0359224,87.0,91.0,0.2,0.8,2.3,,18.0,220.0,434.0,8.0,65.0,129.0,Eclipse,8.0,65.0,129.0,0,0,0,1
45034406,TOI-5366,6943.0,186.3,186.3,1.67235,0.09,0.09,1.52,0.255177,0.255177,4.17326,0.09,0.09,866.009,30.433,30.433,,,,12.4595,12.921,12.4595,11.949,11.775,11.677,11.619,11.635,11.501,91.789601,23.131649,PC,found in faint-star QLP search,3.0,3.0,3.0,3.0,4.0,4.0,1.0,3.0,0.0,12.0,1.0,TOI-5366b,0.0544977063737548,9.941137446749243,0.734698,0.734698,0.8868904038089764,0.0655454780087282,0.0655454780087282,182.64,332.26,-117.95999999999998,0.5746497047160419,1.045406870833071,-0.3711436660551045,True,76.6,139.4,49.5,1.5328484,0.0003309,0.0003309,0.0299180958900767,4475683440.553899,3.846893684217627,0.0,90,0.0,0.0,8900267.197205853,6538.66935389313,2503.093517228868,2459521.306343,0.0048908,0.0048908,0.297,0.000881882,0.000881882,2.227,0.394,0.394,8017.2,8017.2,2459522.0727672,230.0,229.0,0.2,0.8,2.3,,35.0,529.0,1051.0,7.0,61.0,121.0,Eclipse,7.0,61.0,121.0,1,0,1,1
81178747,TOI-5367,6155.0,146.4,146.4,1.05799,0.0495276,0.0495276,1.17,0.166874,0.166874,4.45729,0.09,0.09,571.89,8.091,8.091,,,,12.9139,13.428,12.9139,12.259,11.953,11.899,11.826,11.847,11.762,91.796289,27.622043,PC,found in faint-star QLP search,3.0,3.0,3.0,3.0,4.0,4.0,3.0,0.0,3.0,22.357763,1.0,TOI-5367b,0.0945438659848945,10.91052375203047,0.81976604,0.81976604,0.9733734060150162,0.0731347532552453,0.0731347532552453,284.43,499.6,-181.6,0.8949168611059123,1.571917392006869,-0.5713774987759157,True,138.2,242.8,88.30000000000001,1.6649584765804,5.662751e-05,5.662751e-05,0.0289759446145997,4334739615.865261,5.889242651695942,0.0,90,0.0,0.0,2345049.271769915,1722.813648954847,1793.4254774905326,2460234.223007,0.0010011501,0.0010011501,0.89385425953697,0.033610733,0.033610733,1.5790964647683,0.11521406,0.11521406,5684.74727316588,5684.74727316588,2460235.0554862386,212.0,212.0,0.2,0.8,2.3,,27.0,409.0,815.0,4.0,33.0,66.0,Eclipse,4.0,33.0,66.0,1,0,1,1
56457123,TOI-5368,7976.9,117.7,117.7,1.59951,0.06,0.06,1.92,0.299688,0.299688,4.3134,0.08,0.08,748.464,17.4105,17.4105,-0.061,0.067,0.067,12.8879,14.273,12.8879,11.688,11.344,11.161,11.083,11.043,11.324,62.893626,28.17861,PC,found in faint-star QLP search,3.0,3.0,3.0,3.0,4.0,4.0,2.0,0.0,1.0,28.0,1.0,TOI-5368b,0.0866602561731731,15.11950619726483,0.679559,0.679559,1.3488743142837634,0.0606262974584569,0.0606262974584569,368.45,472.82,-206.87,1.1592733448457384,1.4876580890486146,-0.6508858104172557,True,99.4,127.6,55.79999999999998,3.612762,0.0003549,0.0003549,0.0572810681072128,8569125820.260726,7.700653046373853,0.0,90,0.0,0.0,3870584.829048731,2843.5634394538124,2032.6161481918805,2459519.98093,0.0024554,0.0024554,0.751,0.000437639,0.000437639,2.8,0.21,0.21,10080.0,10080.0,2459521.7873110003,99.0,96.0,0.2,0.8,2.3,,7.0,100.0,201.0,2.0,14.0,28.0,Eclipse,2.0,14.0,28.0,0,0,0,2
113804153,TOI-5369,5905.49,22.9,22.9,1.55863,,,1.07,,,4.08197,,,821.427,21.0565,21.0565,-0.0735361,0.0209024,0.0209024,13.1765,13.96,13.1765,12.407,12.046,11.978,11.916,11.927,11.82,47.381894,20.578164,PC,found in faint-star QLP search,3.0,3.0,3.0,3.0,4.0,4.0,3.0,0.0,1.0,22.268745,1.0,TOI-5369b,0.0873696289689111,14.853684731068896,0.553478,0.553478,1.3251592707328166,0.049378084705981,0.049378084705981,374.02,491.69000000000005,-212.6,1.1767985247366075,1.5470297487507156,-0.668914406606606,True,141.2,185.6,80.20000000000002,4.246035157536,0.00041542976,0.00041542976,0.0525053152327729,7854683359.255107,7.243753243980167,0.0,90,0.0,0.0,1313476.2590405552,964.9583289758884,1551.5262106055322,2460211.074094,0.0023990606,0.0023990606,0.7633452066165201,0.026535852,0.026535852,4.4619130646145,0.1943777,0.1943777,16062.8870326122,16062.8870326122,2460213.1971115787,83.0,83.0,0.2,0.8,2.3,,17.0,251.0,499.0,4.0,26.0,51.0,Eclipse,4.0,26.0,51.0,1,0,1,1
400381085,TOI-5370,6350.0,343.9,343.9,1.49902,0.08,0.08,1.26,0.236333,0.236333,4.18682,0.11,0.11,621.805,15.8265,15.8265,,,,12.4064,13.076,12.4064,11.724,11.387,11.278,11.22,11.239,11.204,91.747143,30.18939,PC,found in faint-star QLP search,3.0,3.0,3.0,3.0,4.0,4.0,1.0,0.0,4.0,40.0,1.0,TOI-5370b,0.0950789145920377,15.54613095587352,0.871992,0.871992,1.386935291356472,0.0777940493369887,0.0777940493369887,361.39,444.11,-199.29,1.137060100675265,1.3973263269899332,-0.6270364632767192,True,127.5,156.60000000000002,70.30000000000001,3.7539574,0.0002403,0.0002403,0.0510711273706382,7640131908.895967,7.326076110414433,0.0,90,0.0,0.0,1716852.558113261,1261.3027180141814,1658.910722859395,2459522.197579,0.0016959,0.0016959,0.904,0.000356572,0.000356572,2.544,0.128,0.128,9158.4,9158.4,2459524.0745577,95.0,94.0,0.2,0.8,2.3,,8.0,117.0,232.0,2.0,13.0,26.0,Eclipse,2.0,13.0,26.0,0,0,0,2
17457400,TOI-5371,4671.0,123.0,123.0,1.02996,,,0.74,,,4.28166,,,324.08,4.225,4.225,,,,13.3689,14.817,13.3689,12.046,11.41,11.232,11.155,11.187,11.301,66.80026,20.774863,PC,found in faint-star QLP search,3.0,4.0,3.0,3.0,4.0,4.0,1.0,2.0,3.0,19.0,1.0,TOI-5371b,0.1214084016862095,13.63954175251042,,,1.2168405031568106,,,396.99,584.68,-236.67,1.2490702270872838,1.839609008724132,-0.7446470960093389,True,286.1,421.3,170.5,1.27615,8.7e-05,8.7e-05,0.0208375110119506,3117247278.0756173,4.350397017076896,0.0,90,0.0,0.0,1424379.6274496976,1046.434585833439,1583.5450506279174,2459522.846281,0.0016422,0.0016422,1.474,0.00610505,0.00610505,0.992,0.214,0.214,3571.2,3571.2,2459523.484356,275.0,275.0,0.2,0.8,2.3,,10.0,152.0,308.0,1.0,5.0,11.0,Eclipse,1.0,5.0,11.0,1,0,1,2
71268730,TOI-5375,3865.0,157.0,157.0,0.633426,0.0187028,0.0187028,0.614549,0.0202159,0.0202159,4.62323,0.0113623,0.0113623,121.333,0.221,0.221,,,,12.456,14.063,12.456,11.167,10.48,10.302,10.226,10.212,10.354,113.784894,71.400673,PC,orbital period close to variability period; active host,3.0,4.0,3.0,3.0,4.0,4.0,3.0,0.0,6.0,113.69737,1.0,TOI-5375b,0.1783687360666829,12.323818677927855,0.3511035,0.3511035,1.0994593508321444,0.03132341007875,0.03132341007875,425.89,695.7700000000001,-264.22,1.3399997960004113,2.1891372374632097,-0.8313290899040332,True,314.4,513.5,195.0,1.7215575425862,1.41452e-06,1.41452e-06,0.0239167368304657,3577892903.929947,8.119129112572324,0.0,90,0.0,0.0,191518.2522886768,140.7007788872094,959.1350824766816,2459580.736149,0.00032540015,0.00032540015,3.1815406006026,0.031604227,0.031604227,1.7411525163518,0.01620373,0.01620373,6268.14905886648,6268.14905886648,2459581.596927772,333.0,329.0,0.2,0.8,2.3,,2.0,35.0,72.0,1.0,2.0,4.0,Eclipse,1.0,2.0,4.0,1,0,1,2
356472238,TOI-5382,6277.0,131.8,131.8,1.71503,0.08,0.08,1.226,0.180475,0.180475,4.05801,0.08,0.08,215.238,1.7975,1.7975,,,,9.46981,9.95,9.46981,8.943,8.724,8.678,8.661,8.697,8.64,116.954491,48.114999,PC,slight depth-aperture correlation,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,15.0,1.0,TOI-5382b,0.0266645832519467,4.988123538559695,0.328103,0.328103,0.4450113403078329,0.0292714393820287,0.0292714393820287,24.7,29.040000000000003,-13.36,0.0777148910780017,0.0913700581742984,-0.042035260923162,True,5.6,6.700000000000001,3.1,14.5416243,0.0003706,0.0003706,0.1247906111478591,18668409711.07141,15.64637010581111,0.0,90,0.0,0.0,359380.2693777283,264.0222705349483,1122.096819283434,2459961.944111,0.0074171,0.0074171,0.0711,0.00644456,0.00644456,4.356,1.354,1.354,15681.6,15681.6,2459969.21492315,27.0,28.0,0.2,0.8,2.3,,10.0,91.0,177.0,79.0,471.0,948.0,Transit,10.0,91.0,177.0,0,0,0,1
85266608,TOI-5385,6238.0,124.118,124.118,2.0792,0.103347,0.103347,1.21,0.180399,0.180399,3.88506,0.0864414,0.0864414,483.675,12.2885,12.2885,,,,10.8583,11.565,10.8583,10.316,10.053,10.017,9.993,10.03,10.032,160.630713,28.198626,PC,nearby neighbor TIC 85266607 (Tmag~16.465),3.0,3.0,3.0,4.0,4.0,4.0,6.0,16.0,0.0,25.407656,1.0,TOI-5385b,0.0646212761398101,14.655561961763013,0.7824828,0.7824828,1.3074839107637313,0.0698085596525485,0.0698085596525485,377.61,507.29,-216.51,1.1880939279337748,1.5961128378526113,-0.6812166424007352,True,123.0,165.3,70.5,5.1665548527624,0.00073721877,0.00073721877,0.0623446457386473,9326626252.047466,6.447721992928989,0.0,90,0.0,0.0,2064131.4099699776,1516.434562438311,1737.1096014346572,2459608.235785,0.0024902683,0.0024902683,0.41759093299376,0.012163699,0.012163699,5.9764523680557,0.13450961,0.13450961,21515.22852500052,21515.22852500052,2459610.819062426,67.0,67.0,0.2,0.8,2.3,,6.0,76.0,150.0,1.0,5.0,10.0,Eclipse,1.0,5.0,10.0,0,0,0,2
