TIC,Star Name,Planet Name,Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star TESS Mag,Star RA,Star Dec,TFOPWG Disposition,Creation Date,Planet Radius [Re],Planet Radius Error Lower [Re],Planet Radius Error Upper [Re],Transit Mid Time,Transit Mid Time Error Lower [days],Transit Mid Time Error Upper [days],Transit Depth [%],Transit Depth Error Lower [%],Transit Depth Error Upper [%],Transit Duration [hr],Transit Duration Error Lower [hr],Transit Duration Error Upper [hr],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Rp/Rs,TOI Disposition,EXOFOP Disposition,TFOP Master,TFOP SG1a,TFOP SG1b,TFOP SG2,TFOP SG3,TFOP SG4,TFOP SG5,Alerted,Updated,Public Comment,Sectors,FP_Flag,Known,EB,VS,NASA PC,Assumed Parameters,Star Mass [Ms],Star Metallicity,Star V Mag,Star T Mag,Star J Mag,Star H Mag,Star Ks Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Mass Flag,Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Me],Planet Mass [Mjup],Planet Mass Error Upper [Mjup],Planet Mass Error Lower [Mjup],Planet Radius [Rjup],Planet Radius Error Upper [Rjup],Planet Radius Error Lower [Rjup],Planet Semi-major Axis [au],Planet Semi-major Axis [m],a/Rs,Eccentricity,Inclination,Periastron,Impact Parameter,Planet Albedo,Heat Redistribution Factor,Mean Molecular Weight,Expected Radial Velocity Amplitude [m/s],Expected Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude Error Lower [m/s],Transit Duration T14 [s],Eclipse Duration E14 [s],Planet Insolation Flux [W/m2],Planet Insolation Flux [Earth],Eclipse Mid Time,Available Transits,Available Eclipses,Planet Temperature [K],Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Max Tier
272146465,TOI-5323,TOI-5323.01,5978.25,-110.4,110.4,2.37885,-0.24,0.24,3.72672,-0.11,0.11,967.25,-85.759,85.759,12.2431,9.206607,2.130744,APC,28/02/2022 23:27,21.9100063,-2.09018,2.09018,2459497.679,-0.002043,0.002043,0.713,-0.000269321,0.000269321,4.055,-0.207,0.207,5.8049376,-0.0004494,0.0004494,0.084439327,PC,APC,3,4,3,3,4,4,4,2022-02-28 23:27:42+00,2022-02-28 16:33:05+00,found in faint-star QLP search,"[42, 43]",0,0,0,0,True,,1.1,-0.591,12.868,12.2431,11.662,11.419,11.336,11.29,11.332,11.345,True,206.32,-119.58,284.12,0.893941492,0.649155317,-0.376240756,1.954683197,0.18647369,-0.18647369,0.065269343,9764154757.0,5.899912797,0,90,0,0,0.2,0.8,2.3,94.9,68.9,39.9,14598.0,14598.0,2079414.232,1527.662239,2459500.581,58,55,1740.348721,2.0,35.0,69.0,1.0,10.0,19.0,Eclipse,1.0,10.0,19.0,1,0,1,2
270406298,TOI-5325,TOI-5325.01,5948.0,-126.0,126.0,0.92412,-0.05,0.05,4.54404,-0.08,0.08,339.049,-7.813,7.813,12.0261,32.912647,4.192318,PC,28/02/2022 23:27,7.393501861,-0.492223,0.492223,2459498.292,-0.001351,0.001351,0.538,-0.000977274,0.000977274,1.385,-0.269,0.269,15.057596,-3.81e-05,3.81e-05,0.073348483,PC,PC,3,4,3,3,4,4,4,2022-02-28 23:27:43+00,2022-02-28 16:29:45+00,found in faint-star QLP search,"[4, 31, 42, 43]",0,0,0,0,True,,1.09,,12.664,12.0261,11.417,11.034,10.98,10.918,10.938,10.918,True,76.11,-28.29,45.07,0.141806079,0.23946884,-0.089010294,0.65960519,0.04391327,-0.04391327,0.122818829,18373435303.0,28.57853694,0,90,0,0,0.2,0.8,2.3,11.0,18.6,6.9,4986.0,4986.0,86843.15776,63.80018506,2459505.821,23,24,786.7485772,10.0,153.0,303.0,344.0,2991.0,5741.0,Transit,10.0,153.0,303.0,0,0,0,1
257922326,TOI-5326,TOI-5326.01,6312.87,,,1.60712,,,,,,455.36,,,11.7624,26.45366,10.253401,PC,28/02/2022 23:27,9.601511631,,,2459493.482,-0.002157,0.002157,0.3,-0.000299674,0.000299674,2.26,-0.293,0.293,3.133469,-0.0002958,0.0002958,0.054772256,PC,PC,3,4,3,3,4,4,4,2022-02-28 23:27:43+00,2022-02-28 16:21:14+00,found in faint-star QLP search,"[42, 43]",0,0,0,0,True,"Star Mass, ",1.553542472,-0.009,12.224,11.7624,11.13,10.868,10.839,10.761,10.784,10.769,True,281.42,-99.64,154.35,0.48563941,0.885446342,-0.3135025,0.856590966,,,0.048540274,7261521572.0,6.494673494,0,90,0,0,0.2,0.8,2.3,50.3,91.7,32.4,8136.0,8136.0,2133878.299,1567.674804,2459495.049,111,111,1751.592943,15.0,221.0,438.0,5.0,38.0,77.0,Eclipse,5.0,38.0,77.0,0,0,0,1
303502327,TOI-5327,TOI-5327.01,5377.0,-142.6,142.6,0.914945,-0.05,0.05,4.48469,-0.08,0.08,235.121,-2.192,2.192,12.6345,51.029236,12.435963,PC,28/02/2022 23:29,12.19834652,-0.654802,0.654802,2459521.338,-0.000663,0.000663,1.494,-0.000408439,0.000408439,2.378,-0.1,0.1,4.6671176,-1.76e-05,1.76e-05,0.122229293,PC,PC,3,4,3,3,4,4,4,2022-02-28 23:29:30+00,2022-02-28 16:47:28+00,found in faint-star QLP search,"[31, 42, 43, 44]",0,0,0,0,True,,0.932,,14.031,12.6345,11.458,10.882,10.758,10.629,10.679,10.579,True,705.45,-267.1,429.32,1.350791783,2.219593924,-0.840390583,1.088265455,0.058417622,-0.058417622,0.053412019,7990324376.0,12.55299682,0,90,0,0,0.2,0.8,2.3,172.2,282.9,107.1,8560.8,8560.8,300538.7184,220.7937429,2459523.671,75,76,1073.127512,7.0,105.0,211.0,1.0,11.0,23.0,Eclipse,1.0,11.0,23.0,0,0,0,2
58372253,TOI-5328,TOI-5328.01,6119.83,-100.9,100.9,2.53556,-0.12,0.12,3.69062,-0.07,0.07,410.855,-6.6755,6.6755,11.2303,65.293362,27.16792,PC,28/02/2022 23:29,18.71704611,-0.844283,0.844283,2459519.398,-0.001758,0.001758,0.458,-6.42e-05,6.42e-05,6.921,-0.171,0.171,5.4886518,-0.0004019,0.0004019,0.067675697,PC,PC,3,4,3,3,4,4,4,2022-02-28 23:29:30+00,2022-02-28 16:48:00+00,found in faint-star QLP search,"[43, 44]",0,0,0,0,True,,1.15,0.036,12.596,11.2303,10.047,9.63,9.432,9.326,9.323,9.312,True,281.68,-149.74,317.35,0.998494765,0.886264393,-0.471134728,1.669825879,0.075322014,-0.075322014,0.063816167,9546762759.0,5.412030495,0,90,0,0,0.2,0.8,2.3,104.8,93.0,49.5,24915.6,24915.6,2713884.007,1993.781736,2459522.142,65,64,1860.134051,1.0,10.0,20.0,1.0,1.0,2.0,Eclipse,1.0,1.0,2.0,0,0,0,3
309791156,TOI-533,TOI-533.01,4666.1,-64.0,64.0,0.88568,-0.0625528,0.0625528,4.41275,-0.12,0.12,123.391,-0.303,0.303,10.9621,80.054863,-62.646186,PC,07/05/2019 17:42,3.953062992,-0.5625039,0.5625039,2458332.697,-0.001107,0.001107,0.167437386,-0.003626657,0.003626657,4.1424619,-0.1727014,0.1727014,19.571581,-2.5e-05,2.5e-05,0.040919114,PC,PC,2,4,1,1,4,4,4,2019-05-07 17:42:42+00,2023-11-13 15:54:49+00,,"[1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 61, 62, 63, 64, 65]",0,0,0,0,True,,0.74,0.23,11.812,10.9621,10.103,9.651,9.511,9.471,9.544,9.463,True,16.08,-8.47,18.01,0.056665797,0.050593338,-0.0266496,0.352669265,0.050183323,-0.050183323,0.128560083,19232314639.0,31.2127989,0,90,0,0,0.2,0.8,2.3,5.2,4.7,2.5,14912.86284,14912.86284,27554.53438,20.2432113,2458342.483,62,63,590.571775,8.0,88.0,176.0,1019.0,6551.0,11498.0,Transit,8.0,88.0,176.0,0,0,0,1
436843539,TOI-5330,TOI-5330.01,6701.04,-108.6,108.6,1.37545,-0.06,0.06,4.31347,-0.09,0.09,667.058,-14.8985,14.8985,12.4333,40.451187,24.102318,PC,28/02/2022 23:29,14.44492709,-0.764419,0.764419,2459884.466,-0.002935,0.002935,0.927,-0.00109069,0.00109069,3.94,-0.327,0.327,4.6303272,-9.83e-05,9.83e-05,0.096280839,PC,PC,3,4,3,3,4,4,4,2022-02-28 23:29:31+00,2023-03-22 15:26:42+00,found in faint-star QLP search,"[18, 42, 43, 44, 58]",0,0,0,0,True,,1.42,-0.028,13.136,12.4333,11.826,11.609,11.524,11.476,11.487,11.552,True,520.92,-219.6,379.99,1.195582245,1.638997614,-0.69093887,1.288692293,0.068197013,-0.068197013,0.061125336,9144220041.0,9.556081766,0,90,0,0,0.2,0.8,2.3,115.4,158.2,66.7,14184.0,14184.0,1251480.678,919.4126618,2459886.781,79,75,1532.806325,10.0,147.0,292.0,2.0,18.0,35.0,Eclipse,2.0,18.0,35.0,1,0,1,2
96948338,TOI-5333,TOI-5333.01,4932.0,-304.2,304.2,0.867795,-0.06,0.06,4.46972,-0.12,0.12,208.746,-2.0435,2.0435,11.992,74.457947,31.318666,PC,28/02/2022 23:29,4.529659574,-0.364964,0.364964,2459507.736,-0.006401,0.006401,0.229,-0.000495535,0.000495535,5.092,-0.631,0.631,11.4420309,-0.0002086,0.0002086,0.047853944,PC,PC,3,4,3,3,4,4,4,2022-02-28 23:29:33+00,2022-02-28 16:50:39+00,found in faint-star QLP search; 3 stars in pixel; potential L1 candidate given Rp error,"[19, 43, 44]",0,0,0,0,True,,0.81,,12.972,11.992,11.071,10.605,10.51,10.407,10.435,10.361,True,22.75,-11.12,21.66,0.068149981,0.071579505,-0.034987433,0.404109855,0.032559963,-0.032559963,0.092635281,13858040864.0,22.95422798,0,90,0,0,0.2,0.8,2.3,7.1,7.4,3.6,18331.2,18331.2,63605.39589,46.72833339,2459513.457,33,30,727.9083892,6.0,82.0,165.0,269.0,2001.0,3818.0,Transit,6.0,82.0,165.0,0,0,0,1
247409676,TOI-5334,TOI-5334.01,5957.46,-143.5,143.5,1.40674,-0.09,0.09,4.17906,-0.09,0.09,536.758,-21.624,21.624,12.3857,42.176259,20.809427,PC,28/02/2022 23:29,13.09212688,-0.843475,0.843475,2459520.904,-0.001527,0.001527,0.728,-0.000190899,0.000190899,3.31,-0.135,0.135,3.6136326,-0.0001299,0.0001299,0.085322916,PC,PC,3,4,3,3,4,4,4,2022-02-28 23:29:33+00,2022-02-28 17:59:21+00,found in faint-star QLP search,"[42, 43, 44]",0,0,0,0,True,,1.09,-0.095,13.238,12.3857,11.503,11.199,11.081,11.006,11.003,10.874,True,628.21,-247.62,408.19,1.284309368,1.976569705,-0.779099649,1.168003335,0.075249929,-0.075249929,0.047446256,7097858852.0,7.252563146,0,90,0,0,0.2,0.8,2.3,160.6,247.2,97.4,11916.0,11916.0,1357045.977,996.9672537,2459522.711,98,98,1564.229161,17.0,250.0,496.0,2.0,15.0,29.0,Eclipse,2.0,15.0,29.0,0,0,0,2
430099722,TOI-5336,TOI-5336.01,6093.89,-101.3,101.3,1.47734,-0.08,0.08,4.15601,-0.08,0.08,778.572,-14.7715,14.7715,12.8019,96.234561,23.657844,PC,28/02/2022 23:29,18.05950971,-1.09473,1.09473,2459520.536,-0.004122,0.004122,1.256,-0.00134395,0.00134395,3.825,-0.293,0.293,4.0153167,-0.001535,0.001535,0.112071406,PC,PC,3,4,3,3,4,4,4,2022-02-28 23:29:34+00,2022-02-28 17:59:59+00,found in faint-star QLP search,[44],0,0,0,0,True,,1.14,0.217,13.319,12.8019,12.13,11.798,11.78,11.704,11.71,11.494,True,307.89,-158.46,325.56,1.024326313,0.968730276,-0.498570917,1.611164311,0.097665437,-0.097665437,0.05166225,7728562635.0,7.519626519,0,90,0,0,0.2,0.8,2.3,120.0,113.5,58.4,13770.0,13770.0,1382092.053,1015.367601,2459522.544,91,84,1571.380926,4.0,52.0,103.0,1.0,11.0,21.0,Eclipse,1.0,11.0,21.0,1,0,1,2
27294830,TOI-5337,TOI-5337.01,4626.0,-271.0,271.0,1.07833,-0.09,0.09,4.23826,-0.11,0.11,296.179,-10.8305,10.8305,12.8997,77.556092,19.640084,PC,28/02/2022 23:29,8.029256378,-2.06325,2.06325,2459522.877,-0.001723,0.001723,0.466,-0.0244152,0.0244152,0.514,-0.207,0.207,0.7135221,-4.7e-05,4.7e-05,0.068264193,PC,PC,3,4,3,3,4,4,4,2022-02-28 23:29:35+00,2022-02-28 18:00:26+00,found in faint-star QLP search,"[43, 44]",0,0,0,0,True,,0.734,,14.028,12.8997,11.629,11.055,10.863,10.748,10.76,10.57,True,116.28,-42.08,65.98,0.207596296,0.365857795,-0.132398487,0.716323506,0.184071152,-0.184071152,0.014097554,2108964063.0,2.811224236,0,90,0,0,0.2,0.8,2.3,58.0,102.3,37.0,1850.4,1850.4,3281401.969,2410.714422,2459523.233,496,492,1950.935388,8.0,117.0,237.0,4.0,31.0,61.0,Eclipse,4.0,31.0,61.0,1,0,1,1
467615239,TOI-5338,TOI-5338.01,5439.0,-122.0,122.0,1.0096,,,4.40703,,,430.82,-6.4185,6.4185,13.1504,78.172728,22.505924,PC,28/02/2022 23:29,14.69230794,,,2459522.341,-0.001474,0.001474,1.78,-0.000714343,0.000714343,2.184,-0.094,0.094,2.6429687,-0.0001395,0.0001395,0.133416641,PC,PC,3,4,3,3,4,4,4,2022-02-28 23:29:35+00,2022-02-28 18:00:57+00,found in faint-star QLP search,"[43, 44]",0,0,0,0,True,,0.949,,14.16,13.1504,12.181,11.757,11.627,11.6,11.625,11.927,True,503.8,-215.02,375.89,1.182682203,1.58513207,-0.676528578,1.310762173,,,0.036778153,5501933402.0,7.833286012,0,90,0,0,0.2,0.8,2.3,180.0,241.3,103.0,7862.4,7862.4,808045.5178,593.6386343,2459523.663,132,134,1374.14344,6.0,82.0,165.0,1.0,8.0,16.0,Eclipse,1.0,8.0,16.0,1,0,1,2
