Star Name,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star Rotational Velocity [km/s],Star Rotational Velocity Error Lower [km/s],Star Rotational Velocity Error Upper [km/s],Star Rotation Period [days],Star Rotation Period Error Lower [days],Star Rotation Period Error Upper [days],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star Parallax [mas],Star Parallax Error Lower [mas],Star Parallax Error Upper [mas],HD ID,HIP ID,TIC ID,Gaia ID,Star B Mag,Star V Mag,Star H Mag,Star I Mag,Star J Mag,Star Ks Mag,Star u Mag,Star g Mag,Star r Mag,Star i Mag,Star z Mag,Star TESS Mag,Star Kepler Mag,Star Gaia Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star W4 Mag,Star RA,Star Dec,Proper Motion [mas/yr],Total Proper Motion Error Lower [mas/yr],Total Proper Motion Error Upper [mas/yr],RA Proper Motion [mas/yr],RA Proper Motion Error Lower [mas/yr],RA Proper Motion Error Upper [mas/yr],Dec Proper Motion [mas/yr],Dec Proper Motion Error Lower [mas/yr],Dec Proper Motion Error Upper [mas/yr],Planet Name,Planet Radius [Rjup],Planet Radius Error Lower [Rjup],Planet Radius Error Upper [Rjup],Rp/Rs,Rp/Rs Error Lower,Rp/Rs Error Upper,Msin(i) [Mj],Msin(i) Error Lower [Mj],Msin(i) Error Upper [Mj],Planet Mass [Mjup],Planet Mass Error Lower [Mjup],Planet Mass Error Upper [Mjup],Radial Velocity Amplitude [m/s],Radial Velocity Amplitude Error Lower [m/s],Radial Velocity Amplitude Error Upper [m/s],Planet Density [g/cm3],Planet Density Error Lower [g/cm3],Planet Density Error Upper [g/cm3],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Semi-major Axis [au],Planet Semi-major Axis Error Lower [au],Planet Semi-major Axis Error Upper [au],a/Rs,a/Rs Error Lower,a/Rs Error Upper,Inclination,Inclination Error Lower,Inclination Error Upper,Impact Parameter,Impact Parameter Error Lower,Impact Parameter Error Upper,Eccentricity,Eccentricity Error Lower,Eccentricity Error Upper,Periastron,Periastron Error Lower,Periastron Error Upper,Projected Obliquity,Projected Obliquity Error Lower,Projected Obliquity Error Upper,True Obliquity,True Obliquity Error Lower,True Obliquity Error Upper,Transit Mid Time,Transit Mid Time Error Lower [days],Transit Mid Time Error Upper [days],Transit Depth [%],Transit Depth Error Lower [%],Transit Depth Error Upper [%],Transit Duration [hrs],Transit Duration Error Lower [hrs],Transit Duration Error Upper [hrs],Eclipse Depth [%],Eclipse Depth Error Lower [%],Eclipse Depth Error Upper [%],Transit Flag,RV Flag,Survey,Discovery Year,Publication,Publication Date,Controversial Flag,Solution Type,Number of Transmission Spectra,Number of Emission Spectra,TTV Flag,Eclipse Flag,Publication Year,Publication Month,No. Desired Parameters,Prime Source,Inferred Parameters,ExoClock Orbital Parameters,Uniform Stellar Parameters,Calculated Parameters,Planet Albedo,Mean Molecular Weight,Heat Redistribution Factor,Assumed Parameters,ExoClock Priority,Transit Mid Time [days],ExoClock Ephemeris,Replaced Values,Transit,Transit Impact Parameter,Eclipse,Eclipse Impact Parameter,Transit Duration T14 [s],Transit Duration T12 [s],Transit Duration T23 [s],Eclipse Duration E14 [s],Eclipse Duration E12 [s],Eclipse Duration E23 [s],Planet Temperature [K],Planet Transit Temperature [K],Planet Eclipse Temperature [K],Eclipse Mid Time,Mass Flag,Planet Radius [Re],Expected Radial Velocity Amplitude [m/s],Expected Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude Error Lower [m/s],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Insolation Flux [W/m2],Planet Insolation Flux Error Upper [W/m2],Planet Insolation Flux Error Lower [W/m2],Planet Insolation Flux [Earth],Planet Insolation Flux Error Upper [Earth],Planet Insolation Flux Error Lower [Earth],Available Transits,Available Eclipses,Planet Semi-major Axis [m],Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Max Tier
HAT-P-25,1.012,-0.051,0.053,5519,-76,78,0.919,-0.034,0.034,4.516,-0.025,0.026,0.294,-0.08,0.08,[Fe/H],3.2,-2.3,2.3,,0.5,-0.5,0.5,,,,300.384,-4.182,4.3,3.30091,-0.0466395,0.0466395,,,TIC 35022727,Gaia DR2 111322601672419712,14.094,13.14999962,10.908,,11.31900024,10.81499958,,,,,,12.2192,,12.8416,10.756,10.816,10.885,8.495,48.4354731,25.1973548,19.1456731,-0.0826562,0.0826562,13.4899,-0.0977272,0.0977272,-13.586,-0.0644345,0.0644345,HAT-P-25b,1.135,-0.048,0.048,0.1269,-0.0011,0.0011,0.569,-0.022,0.023,0.569,-0.022,0.023,74.5,-1.4,1.4,0.483,-0.051,0.059,3.65281524,3.70E-07,3.70E-07,0.0466,-0.0008,0.00081,10.9,-0.31,0.33,88.22,-0.36,0.45,0.347,-0.082,0.061,0.023,-0.014,0.022,287,-17,52,,,,,,,2450000,0.00015,0.00015,0.0161,-0.00027,0.00027,2.81304,-0.02184,0.02232,,,,1,1,HATNet,2010,<a refstr=WANG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASP..130f4401W/abstract target=ref>Wang et al. 2018</a>,2018-06,0,Published Confirmed,0,0,FALSE,FALSE,2018,6,14,TRUE,,FALSE,FALSE, ,0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Transit Mid Time, ",low,2457759.393,TRUE,"Star Age [Gyr], Star Rotational Velocity [km/s], ",TRUE,0.346005604,TRUE,0.331112387,10125.02795,1281.206408,7562.615134,9732.224929,1219.148536,7293.927858,1182.039929,1169.277476,1195.284908,2450001.842,FALSE,12.72219313,,,,180.8443634,7.310053352,-6.992224945,448561.9,38986.63,36631.28,329.5404378,28.64191346,26.91153227,98,94,6971260775,2,18,35,2,9,17,Eclipse,2,9,17,0,0,0,2
TOI-3331A,1.016,-0.052,0.047,5609,-87,92,0.952,-0.029,0.029,4.487,-0.023,0.022,0.148,-0.084,0.084,[Fe/H],2.1,-1.5,2.7,,,,,,,,217.193,-2.681,2.748,4.57654,-0.057096,0.057096,,,TIC 194795551,Gaia DR2 4042548116644168832,12.698,11.635,10.068,,10.348,9.914,,,,,,11.3208,,11.8314,9.565,9.653,9.895001,8.306,271.3241672,-34.107171,16.9479367,-0.0903706,0.0903706,0.421279,-0.117861,0.117861,-16.9427,-0.090351,0.090351,TOI-3331Ab,1.158,-0.043,0.043,0.124999148,-0.001320009,0.001320009,,,,2.27,-0.16,0.16,360,-21,21,1.82,-0.21,0.24,2.0180231,4.30E-06,4.30E-06,0.03144,-0.00055,0.00048,7.09,-0.17,0.18,85.4,-0.36,0.38,0.569,-0.034,0.03,0,-0.052,0.048,0,,,,,,,,,2459371.653,0.0002,0.0002,1.559,-0.033,0.033,2.12304,-0.01992,0.0204,,,,1,1,Transiting Exoplanet Survey Satellite (TESS),2022,<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,2022-08,0,Published Confirmed,0,0,FALSE,FALSE,2022,8,12,TRUE,,FALSE,FALSE," Rp/Rs, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Periastron, ",medium,2459371.653,TRUE,,TRUE,0.568610373,TRUE,0.568610373,7647.437667,1208.423073,5230.591521,7647.437667,1208.423073,5230.591521,1489.523381,1489.523381,1489.523381,2459372.662,FALSE,12.97999969,,,,721.470483,50.85254506,-50.85254506,1122405.93,97111.59,88790.4,824.5866213,71.3439904,65.23074583,175,178,4703357055,8,103,207,1,2,4,Eclipse,1,2,4,0,0,0,2
Kepler-25,1.165,-0.027,0.029,6354,-27,27,1.316,-0.015,0.016,,,,,,,,2.75,-0.3,0.3,F8,8.89,-0.63,0.59,,,,243.249,-1.397,1.414,4.08224,-0.0235791,0.0235791,,,TIC 120960812,Gaia DR2 2100451630105041152,11.323,10.62300014,9.532,,9.763999939,9.493000031,,,,,,10.2768,10.734,10.6319,9.468,9.498,9.456,8.449,286.6383905,39.4879038,6.185693,-0.0440756,0.0440756,-0.454812,-0.0396986,0.0396986,6.16895,-0.0440982,0.0440982,Kepler-25c,0.465761672,,,0.03637,-0.00012,0.00012,,,,0.00015071,-1.29E-05,1.61E-05,0.011837831,,,,,,12.7203705,-1.70E-06,1.70E-06,0.112216593,,,18.336,-0.27,0.27,87.236,-0.042,0.039,0.8826,-0.0018,0.0018,0.0061,-0.0041,0.0049,0,,,-0.9,-6.4,7.7,24.1,-9.3,9.2,2458649.555,-0.00026,0.00028,0.13227769,,,2.862,-0.006,0.006,,,,1,1,Kepler,2011,<a refstr=BOURRIER_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A..63B/abstract target=ref>Bourrier et al. 2023</a>,2023-01,0,Published Confirmed,2,0,TRUE,FALSE,2023,1,11,TRUE,,FALSE,FALSE," Planet Semi-major Axis, Transit Depth, Planet Radius, Radial Velocity Amplitude, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Periastron, ",,,,,TRUE,0.884169207,TRUE,0.884169207,10328.55741,1504.439392,7319.678622,10328.55741,1504.438009,7319.681389,1049.252258,1049.27178,1049.27178,2458655.964,FALSE,5.220713605,,,,0.047899919,0.005101146,-0.004099986,167940.3,184192.34,79347.2,123.379003,135.3187249,58.29320553,74,75,16787363443,1,1,1,93,726,1445,Transit,1,1,1,0,0,0,3
WASP-161,1.39,-0.14,0.14,6400,-100,100,1.712,-0.072,0.083,4.111,-0.033,0.023,0.16,-0.09,0.09,[Fe/H],,,,,18,-0.8,0.8,,,,343.08,-4.046,4.142,2.88635,-0.034516,0.034516,,,TIC 50712784,Gaia DR2 5751177095877066496,11.649,11.07999992,9.906,,10.09000015,9.836999893,,,,,,10.5579,,10.8987,9.818,9.846,9.789,8.756,126.3378248,-11.5009889,5.4201637,-0.0486815,0.0486815,-5.38829,-0.0487732,0.0487732,-0.586946,-0.0402114,0.0402114,WASP-161b,1.143,-0.058,0.065,0.0671,-0.0017,0.0017,,,,2.49,-0.21,0.21,230,-12,12,2.2,-0.29,0.29,5.4056202,1.20E-06,1.20E-06,0.0673,-0.0023,0.0023,8.49,-0.28,0.13,89.01,-1,0.69,0.14,-0.1,0.15,0,,,0,,,,,,,,,2457416.529,0.00015,0.00015,0.45092,-0.00023,0.00023,5.1288,-0.0528,0.0528,,,,1,1,SuperWASP-South,2018,<a refstr=BARKAOUI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...43B/abstract target=ref>Barkaoui et al. 2019</a>,2019-02,0,Published Confirmed,0,0,FALSE,FALSE,2019,2,12,TRUE,,FALSE,FALSE, ,0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ",alert,2458940.915,TRUE,,TRUE,0.14668937,TRUE,0.14668937,18559.13196,1196.211812,16166.70833,18559.13196,1196.211812,16166.70833,1553.141882,1553.141882,1553.141882,2457419.232,FALSE,12.81186498,,,,791.3927324,66.74396538,-66.74396538,1351098.86,159916.59,107754.31,992.598145,117.484305,79.16276994,75,75,10067936698,31,354,697,1,6,11,Eclipse,1,6,11,0,0,0,2
TOI-1249,1.0062,-0.0318,0.0318,5497,-67,69,0.9785,-0.0164,0.0175,4.457,-0.023,0.023,0.297,-0.059,0.057,[Fe/H],4,-2,2.3,,,,,,,,139.49,-0.533,0.537,7.14014,-0.0272763,0.0272763,,,TIC 232976128,Gaia DR2 1678371724905519744,11.746,11.09000015,9.204001,,9.536000252,9.126000404,14.8817,16.6665,10.725,10.5564,12.9231,10.2108,,10.6987,9.093,9.149,9.06,9.034,200.5615762,66.3085331,48.6154808,-0.0431938,0.0431938,-14.7854,-0.0516733,0.0516733,-46.3126,-0.0422341,0.0422341,TOI-1249b,0.29182226,-0.01671633,0.02737754,0.03064683,-0.00167871,0.00282218,,,,0.03744159,-0.01604639,0.01636103,3.2,-1.4,1.4,1.84,-1.11,0.85,13.079151,-5.40E-05,5.40E-05,0.109,-0.002,0.002,23.95350533,,,88.47979689,,,0.635473,-0.409422,0.213304,0,,,90,,,,,,,,,2458694.38,-0.0021,0.0021,0.09392605,,,3.1451019,-0.1461615,0.2573412,,,,1,1,Transiting Exoplanet Survey Satellite (TESS),2024,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,2024-06,0,Published Confirmed,0,0,FALSE,FALSE,2024,6,9,TRUE,,FALSE,FALSE," a/Rs, Inclination, Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, ",,,,,TRUE,0.635473,TRUE,0.635473,12191.51252,596.8766306,10997.75926,12191.51252,596.8766306,10997.75926,794.1932669,794.1932669,794.1932669,2458700.92,FALSE,3.271030089,,,,11.90000089,5.200000095,-5.099998565,90580.47,6036.66,6056.04,66.54583847,4.434891995,4.449129703,70,71,16306167906,10,106,210,473,2861,5940,Transit,10,106,210,0,0,0,1
TrES-1,1.04,-0.19,0.19,5230,-50,50,0.85,-0.05,0.05,4.57,-0.01,0.01,0.02,,,[Fe/H],3.7,-2.8,3.4,,1.3,-0.3,0.3,,,,159.658,-0.73,0.736,6.23464,-0.0285258,0.0285258,,,TIC 120757718,Gaia DR2 2098964849867337856,12.352,11.42000008,9.887,,10.29399967,9.819000244,,,,,,11.0248,,11.5565,9.755,9.821,9.781,8.934,286.0408755,36.632536,38.1245166,-0.0458687,0.0458687,-32.2068,-0.0458055,0.0458055,-20.401,-0.046026,0.046026,TrES-1b,1.13,-0.06,0.06,0.136613922,-0.000333055,0.000333055,,,,0.84,-0.11,0.11,115.2,-6.2,6.2,,,,3.030069476,7.20E-08,7.20E-08,0.041426362,,,10.48,-0.28,0.28,90,-0.05,0.05,6.42E-16,,,0,,,0,,,30,-21,21,,,,2450000,6.30E-05,6.30E-05,1.8,-0.0091,0.0091,,,,,,,1,1,TrES,2004,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2017-03,0,Published Confirmed,0,2,FALSE,TRUE,2017,3,10,TRUE,,FALSE,FALSE," Planet Semi-major Axis, Transit Impact Parameter, Rp/Rs, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, Transit Mid Time, ",low,2456822.891,TRUE,"Star Age [Gyr], Star Rotational Velocity [km/s], Projected Obliquity, ",TRUE,6.42E-16,TRUE,7.05E-11,9055.725439,1091.312326,6873.100786,9055.725439,1091.312326,6873.100786,1142.368054,1142.368054,1142.368054,2450001.515,FALSE,12.66614823,,,,266.9758615,34.96112473,-34.96112473,387543.51,26171.35,25456.46,284.7126739,19.22704121,18.7018402,264,262,6197295600,1,11,22,1,3,5,Eclipse,1,3,5,0,0,0,2
HAT-P-24,1.191,-0.042,0.042,6373,-80,80,1.317,-0.068,0.068,4.27,-0.04,0.04,-0.16,-0.08,0.08,[Fe/H],2.8,-0.6,0.6,F8,10,-0.5,0.5,,,,415.344,-6.435,6.636,2.37947,-0.0375899,0.0375899,,,TIC 440777904,Gaia DR2 3167323052618369408,12.208,11.76000023,10.589,,10.79699993,10.54300022,14.315,11.999,11.6961,11.621,12.6475,11.3072,,11.6396,10.5,10.513,10.65,8.736,108.8251171,14.2626064,8.330933,-0.0764122,0.0764122,8.15226,-0.0769633,0.0769633,-1.71613,-0.0627019,0.0627019,HAT-P-24b,1.242,-0.067,0.067,0.097,-0.0012,0.0012,,,,0.685,-0.033,0.033,83,-3.4,3.4,0.44,-0.07,0.07,3.35524439,2.60E-07,2.60E-07,0.0465,-0.0006,0.0006,7.58,-0.35,0.35,88.6,-0.7,0.7,0.189,-0.08,0.083,0.067,-0.024,0.024,197,-36,36,20,-16,16,,,,2455216.977,0.00014,0.00014,0.941,-0.023,0.023,3.6936,-0.0192,0.0192,,,,1,1,HATNet,2010,<a refstr=KIPPING_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1008.3389K/abstract target=ref> Kipping et al. 2010 </a>,2010-12,0,Published Confirmed,0,0,FALSE,FALSE,2010,12,14,TRUE,,FALSE,FALSE, ,0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",medium,2458011.896,TRUE,"Projected Obliquity, ",TRUE,0.188048225,TRUE,0.180822452,13438.89199,1234.303003,10970.28599,12938.93366,1185.990106,10566.95345,1636.795106,1624.334225,1656.470998,2455218.518,FALSE,13.92155407,,,,217.7124585,10.48833742,-10.48833742,1589906.11,206140.55,156595.03,1168.040254,151.4431946,115.0440881,106,106,6956300988,2,19,37,1,5,9,Eclipse,1,5,9,0,0,0,2
HAT-P-50,1.273,-0.115,0.049,6280,-49,49,1.698,-0.071,0.071,4.072,-0.029,0.029,-0.18,-0.08,0.08,[Fe/H],3.37,-0.27,1.44,,8.9,-0.5,0.5,,,,515.458,-15.697,16.696,1.91293,-0.0604476,0.0604476,,,TIC 17746821,Gaia DR2 3151961363348862720,12.282,11.76200008,10.545,,10.81599998,10.5,14.6197,12.1507,11.7136,11.6603,13.4771,11.3155,,11.6722,10.443,10.481,10.368,8.304,118.0634379,12.1393474,13.8705935,-0.0628168,0.0628168,6.73576,-0.0943095,0.0943095,-12.1253,-0.0491826,0.0491826,HAT-P-50b,1.288,-0.064,0.064,0.0782,-0.0012,0.0012,,,,1.35,-0.073,0.073,161.3,-5.6,5.6,0.78,-0.11,0.11,3.12200511,5.00E-07,5.00E-07,0.0453,-0.0014,0.00058,5.68,-0.19,0.19,83.65,-0.57,0.57,0.629,-0.041,0.032,0,,,0,,,,,,,,,2456285.91,0.00022,0.00022,0.607613257,,,3.6744,-0.0264,0.0264,,,,1,1,HATNet,2015,<a refstr=HARTMAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150..168H/abstract target=ref>Hartman et al. 2015</a>,2015-12,0,Published Confirmed,0,0,FALSE,FALSE,2015,12,11,TRUE,,FALSE,FALSE," Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ",medium,2458402.63,TRUE,,TRUE,0.62821745,TRUE,0.62821745,13382.02963,1548.633347,10284.76294,13382.02963,1548.633347,10284.76294,1863.247203,1863.247203,1863.247203,2456287.471,FALSE,14.43716718,,,,429.0683489,23.20147368,-23.20147368,2797634.71,224646.48,176959.46,2055.310019,165.0387591,130.0050181,112,115,6776783543,9,116,229,1,6,11,Eclipse,1,6,11,0,0,0,2
HAT-P-51,0.976,-0.028,0.028,5449,-50,50,1.041,-0.029,0.038,4.392,-0.027,0.027,0.27,-0.08,0.08,[Fe/H],8.2,-1.7,1.7,,1.7,-0.5,0.5,,,,440.089,-7.901,8.189,2.24399,-0.0412163,0.0412163,,,TIC 61205803,Gaia DR2 316706322857704960,14.261,13.43999958,11.645,,12.03899956,11.61400032,,,,,,12.7628,,13.2846,11.527,11.563,11.528,9.293,21.0651251,32.8107,18.9952545,-0.0723425,0.0723425,-9.17549,-0.0538217,0.0538217,-16.6322,-0.0771011,0.0771011,HAT-P-51b,1.293,-0.054,0.054,0.1278,-0.002,0.002,,,,0.309,-0.018,0.018,39.5,-2.2,2.2,0.178,-0.024,0.024,4.21802122,6.50E-07,6.50E-07,0.05069,-0.00049,0.00049,10.48,-0.4,0.28,88.48,-0.57,0.57,0.277,-0.119,0.085,0,,,0,,,,,,,,,2456194.122,0.00019,0.00019,1.629170274,,,3.3672,-0.0384,0.0384,,,,1,1,HATNet,2015,<a refstr=HARTMAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150..168H/abstract target=ref>Hartman et al. 2015</a>,2015-12,0,Published Confirmed,1,0,FALSE,FALSE,2015,12,11,TRUE,,FALSE,FALSE," Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ",low,2458345.314,TRUE,,TRUE,0.277991358,TRUE,0.277991358,12124.84617,1480.576968,9163.692233,12124.84617,1480.576968,9163.692233,1190.203351,1190.203351,1190.203351,2456196.231,FALSE,14.49321209,,,,98.20897764,5.720911319,-5.720911319,453770.02,45661.4,27990.18,333.3666347,33.54559927,20.56326267,91,91,7583116066,1,6,12,2,13,26,Transit,1,6,12,1,0,1,2
TOI-5800,0.79,-0.02,0.05,4830,-50,50,0.8,-0.01,0.01,,,,0.02,-0.08,0.08,[m/H],2.5,-0.7,1,K3 V,,,,,,,42.9052,-0.0794,0.0798,23.2783,-0.0429144,0.0429144,,,TIC 151759246,Gaia DR2 4216059714460162944,10.499,9.550000191,7.284,,7.770999908,7.190999985,,,,,,8.6133,,9.21824,7.111,7.188,7.156,7.095,305.0655462,-7.4119237,73.7876788,-0.0575475,0.0575475,51.7829,-0.0698351,0.0698351,-52.5657,-0.042341,0.042341,TOI-5800b,0.239094,-0.01784284,0.02051926,0.030712427,,,,,,0.0339806,-0.00440489,0.00409026,6.337777652,,,3.16,-0.73,0.86,2.627882,-5.00E-06,5.00E-06,0.0345,-0.0007,0.0007,9.26,-0.14,0.14,85.22,-0.37,0.27,0.93,-0.03,0.02,0.39,-0.07,0.07,-50,-9,16,,,,,,,2459771.715,-0.0014,0.0014,0.094325316,,,,,,,,,1,1,Transiting Exoplanet Survey Satellite (TESS),2025,<a refstr=JENKINS_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250510324J/abstract target=ref>Jenkins et al. 2025</a>,2025-05,0,Published Confirmed,0,0,FALSE,FALSE,2025,5,12,TRUE,,FALSE,FALSE," Rp/Rs, Transit Depth, Radial Velocity Amplitude, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",,,,,TRUE,0.933015059,TRUE,0.50376614,4520.174588,900.2401411,2719.694306,5003.098365,198.7309379,4605.636489,1122.345681,1020.677376,1389.051438,2459773.463,FALSE,2.680000039,,,,10.79999995,1.300000818,-1.39999917,360290.61,16636.11,14845.71,264.6910613,12.22188281,10.90654773,133,137,5161126539,5,38,74,7,43,81,Transit,5,38,74,0,0,0,1
Kepler-435,1.538,-0.088,0.088,6161,-94,94,3.21,-0.3,0.3,3.613,-0.07,0.047,-0.18,-0.11,0.11,[Fe/H],2.25,-0.42,0.42,,6,-1,1,,,,1418.77,-35.37,35.37,0.676165,-0.0174336,0.0174336,,,TIC 63211674,Gaia DR2 2125913531966017408,14.228,13.77200031,12.345,,12.59300041,12.29100037,,,,,,13.1981,13.643,13.604,12.266,12.309,12.416,9.423,292.2873012,43.1972542,3.6932002,-0.0298731,0.0298731,2.26529,-0.0306839,0.0306839,-2.91688,-0.0293732,0.0293732,Kepler-435b,1.99,-0.18,0.18,0.06384,-0.0002,0.0002,,,,0.84,-0.15,0.15,64,-12,12,0.131,-0.037,0.037,8.6001545,1.70E-06,1.70E-06,0.0948,-0.0018,0.0018,6.35,-0.51,0.51,85.51,-0.52,0.52,0.448,-0.024,0.024,0.114,-0.077,0.077,104,-36,36,,,,,,,2455010.642,7.90E-05,7.90E-05,0.405851331,,,9.003,-0.036,0.059,,,,1,1,Kepler,2015,<a refstr=ALMENARA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...575A..71A/abstract target=ref>Almenara et al. 2015</a>,2015-03,0,Published Confirmed,0,0,FALSE,FALSE,2015,3,13,TRUE,,FALSE,FALSE," Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",high,2455724.455,TRUE,,TRUE,0.44178271,TRUE,0.551672477,32479.55307,2406.428556,27666.69596,38098.19816,3225.814189,31646.56978,1728.818289,1833.882084,1641.100231,2455014.791,FALSE,22.30587165,,,,266.9758615,47.67426099,-47.67426099,1955388.67,294359.29,262461.75,1436.545633,216.2539647,192.8201214,114,115,14181878142,4,44,87,3,19,37,Eclipse,3,19,37,1,0,1,2
HATS-35,1.317,-0.04,0.04,6300,-100,100,1.433,-0.038,0.056,4.244,-0.023,0.023,0.21,-0.06,0.06,[Fe/H],2.13,-0.51,0.51,,8.66,-0.34,0.34,,,,514.555,-9.817,10.199,1.91556,-0.0374958,0.0374958,,,TIC 339522221,Gaia DR2 6441034841743467776,13.19,12.56000042,11.192,,11.43900013,11.11800003,,,,,,12.0457,,12.4605,11.079,11.11,11.072,8.885,296.688442,-63.5656488,23.2444817,-0.0484884,0.0484884,19.4055,-0.0501052,0.0501052,-12.7958,-0.0445477,0.0445477,HATS-35b,1.464,-0.044,0.069,0.1051,-0.0012,0.0012,,,,1.222,-0.078,0.078,170,-10,10,0.484,-0.07,0.042,1.82100088,2.80E-07,2.80E-07,0.03199,-0.00033,0.00033,4.79,-0.16,0.11,86.9,-1.3,1.3,0.26,-0.14,0.11,0,,,0,,,,,,,,,2456981.802,0.00016,0.00016,1.102200641,,,3.1176,-0.024,0.024,,,,1,1,HATSouth,2016,<a refstr=DE_VAL_BORRO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..161D/abstract target=ref>de Val-Borro et al. 2016</a>,2016-12,0,Published Confirmed,0,0,FALSE,FALSE,2016,12,11,TRUE,,FALSE,FALSE," Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ",low,2458604.315,TRUE,,TRUE,0.259037514,TRUE,0.259037514,11345.56108,1163.922115,9017.716845,11345.56108,1163.922115,9017.716845,2035.43761,2035.43761,2035.43761,2456982.712,FALSE,16.40994779,,,,388.3863129,24.79061571,-24.79061571,3899908.41,352847.56,319527.69,2865.106298,259.222951,234.7441788,265,265,4785635884,3,32,64,1,3,5,Eclipse,1,3,5,0,0,0,2
