Star Name,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star C/H,Star C/H Error,Star O/H,Star O/H Error,Star N/H,Star N/H Error,Star C/O,Star N/O,Star C/N,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star Rotational Velocity [km/s],Star Rotational Velocity Error Lower [km/s],Star Rotational Velocity Error Upper [km/s],Star Rotation Period [days],Star Rotation Period Error Lower [days],Star Rotation Period Error Upper [days],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star Parallax [mas],Star Parallax Error Lower [mas],Star Parallax Error Upper [mas],HD ID,HIP ID,TIC ID,Gaia DR3 ID,Star B Mag,Star V Mag,Star H Mag,Star I Mag,Star J Mag,Star Ks Mag,Star u Mag,Star g Mag,Star r Mag,Star i Mag,Star z Mag,Star TESS Mag,Star Kepler Mag,Star Gaia Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star W4 Mag,Star RA,Star Dec,Coordinate Source,Coordinate Ref Epoch,Proper Motion [mas/yr],Total Proper Motion Error Lower [mas/yr],Total Proper Motion Error Upper [mas/yr],RA Proper Motion [mas/yr],RA Proper Motion Error Lower [mas/yr],RA Proper Motion Error Upper [mas/yr],Dec Proper Motion [mas/yr],Dec Proper Motion Error Lower [mas/yr],Dec Proper Motion Error Upper [mas/yr],2MASS RA,2MASS Dec,Planet Name,Planet Radius [Rjup],Planet Radius Error Lower [Rjup],Planet Radius Error Upper [Rjup],Planet Radius [Re],Rp/Rs,Rp/Rs Error Lower,Rp/Rs Error Upper,Msin(i) [Mjup],Msin(i) Error Lower [Mjup],Msin(i) Error Upper [Mjup],Planet Mass [Mjup],Planet Mass Error Lower [Mjup],Planet Mass Error Upper [Mjup],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Mass Flag,Radial Velocity Amplitude [m/s],Radial Velocity Amplitude Error Lower [m/s],Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude [m/s],Expected Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude Error Lower [m/s],Planet Density [g/cm3],Planet Density Error Lower [g/cm3],Planet Density Error Upper [g/cm3],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Transit Temperature [K],Planet Eclipse Temperature [K],Planet Insolation Flux [W/m2],Planet Insolation Flux Error Upper [W/m2],Planet Insolation Flux Error Lower [W/m2],Planet Insolation Flux [Earth],Planet Insolation Flux Error Upper [Earth],Planet Insolation Flux Error Lower [Earth],Planet Semi-major Axis [au],Planet Semi-major Axis Error Lower [au],Planet Semi-major Axis Error Upper [au],Planet Semi-major Axis [m],a/Rs,a/Rs Error Lower,a/Rs Error Upper,Inclination,Inclination Error Lower,Inclination Error Upper,Eccentricity,Eccentricity Error Lower,Eccentricity Error Upper,Periastron,Periastron Error Lower,Periastron Error Upper,Projected Obliquity,Projected Obliquity Error Lower,Projected Obliquity Error Upper,True Obliquity,True Obliquity Error Lower,True Obliquity Error Upper,Transit,Transit Impact Parameter,Transit Mid Time,Transit Mid Time Error Lower [days],Transit Mid Time Error Upper [days],Transit Depth [%],Transit Depth Error Lower [%],Transit Depth Error Upper [%],Transit Duration [hrs],Transit Duration Error Lower [hrs],Transit Duration Error Upper [hrs],Transit Duration T14 [s],Transit Duration T12 [s],Transit Duration T23 [s],Eclipse,Eclipse Impact Parameter,Eclipse Depth [%],Eclipse Depth Error Lower [%],Eclipse Depth Error Upper [%],Eclipse Duration E14 [s],Eclipse Duration E12 [s],Eclipse Duration E23 [s],Eclipse Mid Time,Transit Flag,RV Flag,Survey,Discovery Year,Publication,Publication Date,Controversial Flag,Solution Type,Number of Transmission Spectra,Number of Emission Spectra,TTV Flag,Eclipse Flag,Planet Albedo,Mean Molecular Weight,Heat Redistribution Factor,In PLATO FOV,No. Desired Parameters,Inferred Parameters,ExoClock Orbital Parameters,ExoClock Priority,ExoClock Ephemeris,Uniform Stellar Parameters,Calculated Parameters,Assumed Parameters,Replaced Values,Available Transits,Available Eclipses,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Max Tier
HD86226,1.019,-0.066,0.061,5863,-88,88,1.053,-0.026,0.026,4.4,-0.032,0.029,0.018,-0.043,0.057,[Fe/H],,,,,,,,,,4.6,-2.7,3.7,G1 V,,,,22.8,-3,3,45.683,-0.1048,0.1053,21.8612,-0.0499485,0.0499485,HD 86226,HIP 48739,TIC 22221375,Gaia DR3 5660492297395345408,8.432,7.93,6.577,,6.839,6.463,,,,,,7.3635,,7.7713,6.446,6.377,6.447,6.392,149.1235154,-24.0991859,NEA,J2000,183.2069957,-0.0941683,0.0941683,-177.111,-0.0947909,0.0947909,46.8668,-0.0847801,0.0847801,149.1243508,-24.0993887,HD86226c,0.19270229,-0.00713712,0.00713712,2.159996255,0.018805892,,,,,,0.02281094,-0.0035239,0.00374414,7.249964713,1.18999405,-1.119995522,FALSE,2.89,-0.43,0.46,,,,3.97,-0.73,0.78,3.9846542,2.80E-06,2.80E-06,1303.855065,1293.951887,1320.983798,661449.59,38911.44,37882.51,485.9404855,28.58667438,27.83076077,0.049,-0.001,0.001,7330295664,10.11,-0.08,0.07,86.45,-0.16,0.26,0.075,-0.048,0.065,196,-90,60,,,,,,,TRUE,0.635625555,2459172.829,0.00044,0.00044,0.035366159,,,3.12,-0.05,0.12,8814.026106,270.208976,8273.608154,TRUE,0.609877517,,,,8668.405035,252.6295916,8163.145852,2459174.639,1,1,Transiting Exoplanet Survey Satellite (TESS),2020,<a refstr=TESKE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...96T/abstract target=ref>Teske et al. 2020</a>,2020-08,0,Published Confirmed,2,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,12,,FALSE,high,TRUE,FALSE," Rp/Rs, Transit Depth, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ","Star Rotation Period [days], ",99,98,9,37,68,58,208,375,Transit,9,37,68,green,green,green,1
HD89345,1.324,-0.041,0.044,5622,-71,70,1.733,-0.047,0.047,4.083,-0.022,0.023,0.436,-0.05,0.04,[Fe/H],,,,,,,,,,4.18,-0.69,0.64,,2.6,-0.5,0.5,,,,132.345,-0.799,0.808,7.52747,-0.0455361,0.0455361,HD 89345,HIP 50496,TIC 350020859,Gaia DR3 3877070590167177344,10.149,9.38,7.766,,8.091,7.721,,,,,,8.74761,9.204,9.21702,7.673,7.759,7.729,7.757,154.6710977,10.1288464,NEA,J2000,42.7843106,-0.0715555,0.0715555,5.34758,-0.0792224,0.0792224,-42.4488,-0.0714272,0.0714272,154.6710738,10.12902831,HD89345b,0.648,-0.028,0.029,7.263419514,0.0384,-0.0012,0.0012,0.121,-0.019,0.018,0.121,-0.019,0.018,38.4572372,5.720911319,-6.038739725,FALSE,9.2,-1.5,1.5,,,,0.547,-0.096,0.11,11.814414,2.00E-05,2.00E-05,1068.581862,1061.687154,1128.144232,323113.58,29351.91,26712.79,237.3785884,21.56367108,19.62481546,0.1115,-0.0012,0.0012,16680162583,13.84,-0.34,0.36,87.56,-0.24,0.59,0.22,-0.12,0.1,-16,-27,56,74.2,-32.5,33.6,80.1,-23.1,22.3,TRUE,0.596890239,2459107.058,0.0012,0.0012,0.1477,-0.009,0.0094,5.7072,-0.072,0.0912,20748.96172,1170.774638,18407.41244,TRUE,0.528637963,,,,19330.3101,980.0496407,17370.21082,2459114.547,1,1,K2,2018,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..127Y/abstract target=ref>Yu et al. 2018</a>,2018-09,0,Published Confirmed,0,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,14,,FALSE,high,TRUE,FALSE, ,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ","Star Rotational Velocity [km/s], Projected Obliquity, True Obliquity, ",27,28,2,10,18,8,31,56,Transit,2,10,18,green,green,green,2
HD93963A,1.109,-0.043,0.043,5987,-64,64,1.043,-0.009,0.009,4.49,-0.11,0.11,0.1,-0.04,0.04,[Fe/H],,,,,,,,,,1.4,-0.4,0.8,G0 V,5.9,-0.8,0.8,12.8,-1.8,1.8,82.3432,-0.3896,0.3932,12.1158,-0.0572883,0.0572883,HD 93963 A,,TIC 368435330,Gaia DR3 729899906357408768,9.771,9.182,7.807,,8.108,7.776,,,,,,8.6259,,9.03376,7.68,7.729,7.709,7.549,162.7766969,25.641065,NEA,J2000,95.6975971,-0.0907897,0.0907897,-92.8386,-0.0895425,0.0895425,-23.2169,-0.108808,0.108808,,,HD93963Ac,0.28798337,-0.00526364,0.00526364,3.228000045,0.02838,-0.00045,0.00045,,,,0.06040996,-0.01290004,0.01290004,19.20000133,4.099999158,-4.099999158,FALSE,7.5,-1.6,1.6,,,,,,,3.6451455,4.80E-06,4.80E-06,1344.121179,1344.121179,1344.121179,737201.95,37511.88,34047.29,541.5927063,27.55847378,25.01317846,0.04813,-0.00085,0.00085,7200145517,9.92,-0.15,0.15,86.31,-0.19,0.19,0,,,0,,,,,,,,,TRUE,0.63843273,2459168.968,0.00042,0.00042,0.08052,-0.00255,0.00255,2.268,-0.042,0.045,8173.271765,374.7071715,7423.857422,TRUE,0.63843273,,,,8173.271765,374.7071715,7423.857422,2459170.791,1,1,Transiting Exoplanet Survey Satellite (TESS),2022,<a refstr=SERRANO_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...667A...1S/abstract target=ref>Serrano et al. 2022</a>,2022-11,0,Published Confirmed,0,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,12,,FALSE,high,TRUE,FALSE, ,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, Eccentricity, Eccentricity, Eccentricity, Eccentricity, ",,94,94,8,59,114,19,112,220,Transit,8,59,114,green,green,green,1
HD97658,0.747,-0.03,0.031,5119,-50,50,0.703,-0.03,0.035,4.618,-0.039,0.034,-0.3,-0.08,0.08,[Fe/H],,,,,,,,,,3.9,-2.03,2.6,,0.5,-0.5,0.5,34,-2,2,21.5618,-0.0253,0.0254,46.3494,-0.0540856,0.0540856,HD 97658,HIP 54906,TIC 82308728,Gaia DR3 3997075206232885888,8.605,7.76,5.821,,6.203,5.734,,,,,,6.9859,,7.5136,5.812,5.603,5.737,5.642,168.6376584,25.7105962,NEA,J2000,118.0319107,-0.0904553,0.0904553,-107.534,-0.0905273,0.0905273,48.6618,-0.0901026,0.0901026,168.638172,25.71038621,HD97658b,0.20885003,-0.0133821,0.01516638,2.340995962,0.0306,-0.0014,0.0014,0.0247302,-0.00229683,0.00229683,0.0247302,-0.00229683,0.00229683,7.859960061,0.729997819,-0.729997819,FALSE,2.9,-0.25,0.25,,,,3.35,-0.65,0.76,9.4893038,1.40E-06,1.40E-06,733.3840994,731.2138014,738.4560483,65311.86,6876.47,5743.46,47.98200413,5.05186672,4.219489714,0.0796,-0.0011,0.0011,11907990508,24.36,-1.1,0.97,89.45,-0.42,0.37,0.063,-0.044,0.059,-9,-63,67,,,,,,,TRUE,0.235225766,2457386.652,9.60E-05,9.60E-05,0.0934,-0.0084,0.009,2.9712,-0.1272,0.1248,10838.62637,340.2674144,10158.09155,TRUE,0.230634539,,,,10638.4128,333.2512347,9971.910329,2457391.772,1,1,W. M. Keck Observatory,2010,<a refstr=DRAGOMIR_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...772L...2D/abstract target=ref> Dragomir et al. 2013 </a>,2013-07,0,Published Confirmed,7,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,14,,FALSE,high,TRUE,FALSE, ,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ","Star Age [Gyr], Star Rotational Velocity [km/s], Star Rotation Period [days], ",34,35,4,11,18,167,393,607,Transit,4,11,18,green,green,green,2
HIP116454,0.8,-0.03,0.033,5048,-78,79,0.758,-0.022,0.024,4.582,-0.031,0.03,0,-0.039,0.045,[Fe/H],,,,,,,,,,5.5,-3.9,5,,,,,,,,62.4491,-0.182,0.1831,15.9843,-0.0464561,0.0464561,,HIP 116454,TIC 422618449,Gaia DR3 2645940376800212096,11.083,10.19,8.14,9.25,8.604,8.029,,,,,,9.3742,9.507,9.93208,7.996,8.078,8.019,7.878,353.9543517,0.4447043,NEA,J2000,299.043235,-0.0625293,0.0625293,-232.909,-0.0696899,0.0696899,-187.564,-0.0494978,0.0494978,,,HIP116454b,0.22026981,-0.00811849,0.00892142,2.469000056,0.02981,-0.00061,0.00079,,,,0.03051961,-0.00377562,0.00377562,9.699999016,1.199999289,-1.199999289,FALSE,3.54,-0.42,0.42,,,,3.53,-0.57,0.63,9.1004,0.00012,0.00012,753.1812022,850.0436652,683.3568624,51146.5,4496.8,5715.6,37.57528226,3.30361861,4.199022089,0.0792,-0.001,0.0011,11848151359,22.46,-0.72,0.72,88.91,-0.45,0.68,0.215,-0.094,0.056,88,-20,19,,,,,,,TRUE,0.335431539,2460110.787,0.0033,0.0033,0.0889,-0.0036,0.0048,2.431,-0.034,0.036,8726.849579,283.8526329,8159.144313,TRUE,0.519028548,,,,12334.29356,483.9317277,11366.43011,2460115.382,1,1,K2,2014,<a refstr=THYGESEN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168..161T/abstract target=ref>Thygesen et al. 2024</a>,2024-10,0,Published Confirmed,0,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,14,,FALSE,high,TRUE,FALSE, ,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",,35,35,8,64,126,604,3009,5279,Transit,8,64,126,green,green,green,1
HIP41378,1.15,-0.064,0.064,6199,-50,50,1.4,-0.19,0.19,4.18,-0.1,0.1,-0.11,-0.08,0.08,[Fe/H],,,,,,,,,,4.279,-0.931,0.931,,7.13,-0.5,0.5,,,,106.289,-0.668,0.676,9.37994,-0.0590378,0.0590378,,HIP 41378,TIC 366443426,Gaia DR3 600698184764497664,9.416,8.93,7.786,,7.982,7.722,,,,,,8.4642,9.128,8.80998,7.662,7.732,7.732,7.86,126.6158279,10.0803708,NEA,J2000,48.1425366,-0.1041239,0.1041239,-48.1425,-0.104124,0.104124,0.059352,-0.0592131,0.0592131,,,HIP41378f,0.90998305,-0.12489963,0.12489963,10.19998247,0.0672,-0.0013,0.0013,,,,0.03775622,-0.00943906,0.00943906,11.99999924,3.0000014,-3.0000014,FALSE,0.857393484,,,,,,,,,542.07975,0.0004,0.0004,240.4385576,240.4385576,240.4385576,,,,,,,2.163862577,,,3.23709E+11,332.3571675,,,89.96086697,,,0,,,0,,,,,,,,,TRUE,0.227,2457186.914,-0.00014,0.00014,0.446150538,,,18.998,-0.051,0.051,46775.11403,3095.548962,40584.0161,TRUE,0.227,,,,46775.11403,3095.548962,40584.0161,2457457.954,1,1,K2,2016,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827L..10V/abstract target=ref>Vanderburg et al. 2016</a>,2016-08,0,Published Confirmed,2,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,8,,FALSE,high,TRUE,FALSE," Planet Semi-major Axis, Inclination, Transit Depth, a/Rs, Radial Velocity Amplitude, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, Eccentricity, Eccentricity, Eccentricity, Eccentricity, ","Planet Mass [Mjup], Star Age [Gyr], ",2,0,1,1,1,6047552,35479115,61273872,Transit,1,1,1,green,green,green,3
HIP56998,0.653,-0.028,0.028,4675,-53,53,0.63,-0.027,0.027,4.654,-0.057,0.057,-0.343,-0.059,0.059,[Fe/H],,,,,,,,,,6.88,-4.27,4.27,,2.47,-0.3,0.3,,,,12.7781,-0.0114,0.0114,78.2299,-0.0693702,0.0693702,HD 101581,HIP 56998,TIC 397362481,Gaia DR3 5378886891123024512,8.865,7.77,5.273,6.59,5.792,5.101,,,,,,6.7213,,7.38399,,,,,175.2563039,-44.4041485,NEA,J2000,703.2913273,-0.2221672,0.2221672,-660.418,-0.232709,0.232709,241.799,-0.116563,0.116563,,,HD101581b,0.08528875,-0.00562049,0.00544206,0.955999955,0.0139,-0.0006,0.0006,,,,0.003366596,-0.001101223,0.001636103,1.07,0.52,-0.35,TRUE,,,,0.551617543,0.268075815,0.180435645,,,,4.46569,-0.00032,0.00029,834.2693182,834.2693182,834.2693182,108110.27,10115.28,9006.5,79.42427948,7.431290531,6.616714334,0.046,-0.0007,0.0007,6881502052,15.70076057,,,87.78,-0.2,0.27,0,,,0,,,,,,,,,TRUE,0.608194322,2460014.85,-0.0023,0.0028,0.019354114,,,1.77,-0.12,0.13,6353.238186,137.2662255,6078.705735,TRUE,0.608194322,,,,6353.238186,137.2662255,6078.705735,2460017.082,1,0,Transiting Exoplanet Survey Satellite (TESS),2025,<a refstr=KUNIMOTO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...47K/abstract target=ref>Kunimoto et al. 2025</a>,2025-01,0,Published Confirmed,0,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,9,,FALSE,,,FALSE," a/Rs, Transit Depth, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, Eccentricity, Eccentricity, Eccentricity, Eccentricity, Planet Mass, ",,100,101,7,21,36,1323,3058,4833,Transit,7,21,36,green,green,green,1
HIP56998,0.653,-0.028,0.028,4675,-53,53,0.63,-0.027,0.027,4.654,-0.057,0.057,-0.343,-0.059,0.059,[Fe/H],,,,,,,,,,6.88,-4.27,4.27,,2.47,-0.3,0.3,,,,12.7781,-0.0114,0.0114,78.2299,-0.0693702,0.0693702,HD 101581,HIP 56998,TIC 397362481,Gaia DR3 5378886891123024512,8.865,7.77,5.273,6.59,5.792,5.101,,,,,,6.7213,,7.38399,,,,,175.2563039,-44.4041485,NEA,J2000,703.2913273,-0.2221672,0.2221672,-660.418,-0.232709,0.232709,241.799,-0.116563,0.116563,,,HD101581c,0.08832204,-0.00624499,0.00624499,0.990000044,0.0144,-0.0008,0.0007,,,,0.003744159,-0.001195614,0.001761957,1.19,0.56,-0.38,TRUE,,,,0.549856292,0.258755902,0.175584362,,,,6.20401,-0.00044,0.00054,747.4942853,747.4942853,747.4942853,73233.63,8011.73,7041.62,53.80181084,5.885896711,5.173195801,0.0573,-0.0009,0.0009,8571957991,19.55768654,,,87.93,-0.15,0.19,0,,,0,,,,,,,,,TRUE,0.706432568,2460017.114,-0.0024,0.0023,0.02075525,,,1.76,-0.12,0.15,6356.595043,177.7628099,6001.069423,TRUE,0.706432568,,,,6356.595043,177.7628099,6001.069423,2460020.216,1,0,Transiting Exoplanet Survey Satellite (TESS),2025,<a refstr=KUNIMOTO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...47K/abstract target=ref>Kunimoto et al. 2025</a>,2025-01,0,Published Confirmed,0,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,9,,FALSE,,,FALSE," a/Rs, Transit Depth, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, Eccentricity, Eccentricity, Eccentricity, Eccentricity, Planet Mass, ",,74,72,9,26,44,2504,5858,9051,Transit,9,26,44,green,green,green,1
HIP67522,1.22,-0.05,0.05,5675,-75,75,1.38,-0.06,0.06,,,,,,,,,,,,,,,,,0.017,-0.002,0.002,,54.2,-0.7,0.7,1.418,-0.016,0.016,127.28,-1.087,1.105,7.8288,-0.0671421,0.0671421,HD 120411,HIP 67522,TIC 166527623,Gaia DR3 6113920619134019456,10.571,9.79,8.287,,8.587,8.164,,10.83,,,,9.1871,,9.63261,8.108,8.122,8.077,8.121,207.526001,-40.8358961,NEA,J2000,36.5344663,-0.1075291,0.1075291,-28.8426,-0.107772,0.107772,-22.4248,-0.107126,0.107126,,,HIP67522b,0.891,-0.02,0.021,9.987201831,0.06644,-0.0014,0.0015,,,,0.586291207,-0.378380275,1.064662544,186.34,338.38,-120.26,TRUE,,,,54.77500853,99.46746477,35.3506629,,,,6.959503,1.60E-05,1.60E-05,1175.172426,1167.600791,1187.488436,433907.19,29841.48,27432.35,318.7742101,21.92333853,20.15344734,0.0748,-0.0018,0.0016,11189920728,11.66,-0.27,0.24,89.88,-0.93,1.08,0.064,-0.049,0.187,195.3,-50,140,,,,20.2,-8.7,10.3,TRUE,0.024738381,2458604.024,0.00036,0.00036,0.44021833,,,4.85,-0.36,1.13,17789.81783,1111.442462,15566.9329,TRUE,0.0239167,,,,17200.05241,1074.725291,15050.60183,2458607.23,1,0,Transiting Exoplanet Survey Satellite (TESS),2020,<a refstr=BARBER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...973L..30B/abstract target=ref>Barber et al. 2024</a>,2024-09,0,Published Confirmed,3,0,TRUE,FALSE,0.2,2.3,0.8,FALSE,12,,FALSE,high,TRUE,FALSE," Transit Depth, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Planet Mass, ","True Obliquity, ",57,57,3,18,34,1,5,8,Eclipse,1,5,8,green,green,green,2
HIP67522,1.22,-0.05,0.05,5675,-75,75,1.38,-0.06,0.06,,,,,,,,,,,,,,,,,0.017,-0.002,0.002,,54.2,-0.7,0.7,1.418,-0.016,0.016,127.28,-1.087,1.105,7.8288,-0.0671421,0.0671421,HD 120411,HIP 67522,TIC 166527623,Gaia DR3 6113920619134019456,10.571,9.79,8.287,,8.587,8.164,,10.83,,,,9.1871,,9.63261,8.108,8.122,8.077,8.121,207.526001,-40.8358961,NEA,J2000,36.5344663,-0.1075291,0.1075291,-28.8426,-0.107772,0.107772,-22.4248,-0.107126,0.107126,,,HIP67522c,0.708,-0.032,0.031,7.935958358,0.0528,-0.0024,0.0023,,,,0.19636382,-0.124941633,0.344305285,62.41,109.43,-39.71,TRUE,,,,14.43058041,25.30265044,9.181835409,,,,14.334892,-1.20E-05,1.20E-05,917.2334858,915.8848107,924.0267264,156997.61,14130.03,11026.22,115.3398475,10.38076634,8.100521614,0.1228,-0.0053,0.0042,18370618522,19.14,-0.81,0.63,89.2,-0.64,1.75,0.077,-0.056,0.195,186.6,-140,160,,,,,,,TRUE,0.268023742,2458602.503,-0.00093,0.00091,0.277958033,,,5.66,-0.77,0.94,21107.13434,1137.232039,18832.67027,TRUE,0.263321253,,,,20761.95128,1115.824589,18530.3021,2458608.973,1,0,Transiting Exoplanet Survey Satellite (TESS),2024,<a refstr=BARBER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...973L..30B/abstract target=ref>Barber et al. 2024</a>,2024-09,0,Published Confirmed,0,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,12,,FALSE,,,FALSE," Transit Depth, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Planet Mass, ",,27,30,2,11,21,8,33,66,Transit,2,11,21,green,green,green,2
HIP94235,1.094,-0.007,0.024,5991,-50,50,1.08,-0.1,0.11,4.46,-0.05,0.05,0,,,[M/H],,,,,,,,,,0.118,-0.016,0.018,G V,24.4,-1,1,2.24,-0.11,0.11,58.5146,-0.1258,0.1263,17.0609,-0.0365318,0.0365318,,HIP 94235,TIC 464646604,Gaia DR3 6632318361397624960,8.943,8.31,6.966,,7.201,6.881,,,,,,7.7582,,8.16034,6.841,6.823,6.836,6.728,287.7411441,-60.2726358,NEA,J2000,101.4100079,-0.0472182,0.0472182,11.5685,-0.0453452,0.0453452,-100.748,-0.0472424,0.0472424,,,HIP94235b,0.26764253,-0.02497997,0.02854854,2.999999962,0.0253,-0.00059,0.00075,,,,0.039203544,-0.015322734,0.025139351,12.46,7.99,-4.87,TRUE,150,,,4.004054984,2.567608293,1.564987783,,,,7.713071,1.20E-05,1.20E-05,1069.139796,1180.087397,1074.392226,298441.18,66304.27,54634.97,219.2527656,48.71108796,40.13812126,0.0787,-0.00017,0.00056,11773352424,15.7,-1.5,1.6,87.14,-0.17,0.16,0.32,-0.2,0.2,17,-92,67,,,,,,,TRUE,0.642988689,2459816.892,0.00082,0.00082,0.064853531,,,2.47,-0.43,0.22,9364.196073,387.8718001,8588.452473,TRUE,0.77572174,,,,9484.707447,567.9030069,8348.901433,2459822.234,1,0,Transiting Exoplanet Survey Satellite (TESS),2022,<a refstr=ZHOU_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..289Z/abstract target=ref>Zhou et al. 2022</a>,2022-06,0,Published Confirmed,0,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,11,,FALSE,high,TRUE,FALSE," Transit Depth, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Planet Mass, ",,59,58,5,27,50,60,219,428,Transit,5,27,50,green,green,green,1
HIP9618,0.93,-0.06,0.06,5550,-110,110,0.95,-0.03,0.03,,,,-0.1,-0.09,0.09,[Fe/H],,,,,,,,,,5.2,-2.7,2.7,,,,,,,,67.5478,-0.1559,0.1566,14.86007423,0.015458979,0.015458979,HD 12572,HIP 9618,TIC 306263608,Gaia DR3 94468978202180352,9.888,9.2,7.656,,7.922,7.559,,,,,,8.5725,,9.02543,7.489,7.563,7.547,7.286,30.9043458,21.28087955,Gaia,J2000,191.8826949,-0.066182,0.066182,158.824,-0.0690209,0.0690209,107.675,-0.0595394,0.0595394,,,HIP9618b,0.33455317,-0.01159784,0.01159784,3.750000036,0.0364,-0.0005,0.0005,,,,0.02642936,-0.0062927,0.0062927,8.400001376,1.999998814,-1.999998814,FALSE,2.06,-0.48,0.48,,,,0.9,-0.2,0.2,20.77288,-5.00E-05,5.00E-05,684.1952209,684.1952209,684.1952209,50297.01,5373.22,5070.59,36.95119603,3.947489235,3.725159111,0.144,-0.003,0.003,21542093381,32.9,-0.9,0.9,89.70116516,,,0,,,206.6,-147.8,147.8,,,,,,,TRUE,0.171594168,2459120.561,-0.0008,0.0008,0.130964616,,,4.74,-0.05,0.05,17751.38327,641.8975091,16467.58825,TRUE,0.171594168,,,,17751.38327,641.8975091,16467.58825,2459130.948,1,1,Transiting Exoplanet Survey Satellite (TESS),2023,<a refstr=AKANA_MURPHY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..153A/abstract target=ref>Akana Murphy et al. 2023</a>,2023-10,0,Published Confirmed,0,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,11,,FALSE,,,FALSE," Inclination, Inclination, Transit Depth, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Eccentricity, Eccentricity, Eccentricity, Eccentricity, ",,18,16,2,6,10,247,915,1526,Transit,2,6,10,green,green,green,2
